id,bio,imag
لیلا زارع,لیلا زارع، هنرپیشه، در ۲۱ مهر ۱۳۵۹ در تهران متولد شد و در دوره ۱۳۸۲–اکنون فعالیت دارد. از آثار او می‌توان به فیلم‌های «ضد» (۱۴۰۰)، «لاک‌پشت و حلزون» (۱۳۹۹)، «خون شد» (۱۳۹۸)، «روز بلوا» (۱۳۹۸)، «پسرکشی» (۱۳۹۸)، «معکوس» (۱۳۹۷)، «غیرمجاز» (۱۳۹۶)، «جن زیبا» (۱۳۹۶)، «یک کیلو و بیست و یک گرم» (۱۳۹۵)، «آذر» (۱۳۹۵)، «کمدی انسانی» (۱۳۹۵)، «خانه دیگری» (۱۳۹۴)، «سمفونی تولد» (۱۳۹۴)، «امتحان نهایی» (۱۳۹۴)، «شیفت شب» (۱۳۹۳)، «ذوب شدن پادشاه» (۱۳۹۲)، «با دیگران» (۱۳۹۲)، «شیفتگی» (۱۳۹۲)، «گنجشکک اشی مشی» (۱۳۹۲)، «به امید دیدار» (۱۳۹۰)، «کارناوال مرگ» (۱۳۸۷)، «پستچی سه بار در نمی‌زند» (۱۳۸۷)، «سوپر استار» (۱۳۸۷)، «خواب لیلا» (۱۳۸۶)، «هم خانه» (۱۳۸۶)، «باغ آلوچه» (۱۳۸۴)، «خانه روشن» (۱۳۸۴) و «ما همه خوبیم» (۱۳۸۳) اشاره کرد. همچنین او در فیلم‌های کوتاه «۱۱»، «زیر پلک»، «اتاق خالی» و «حلوا» و تله‌فیلم‌های «ملاقات در جاده»، «برای دومین بار»، «جمعه داغ»، «یک داستان کوتاه و چند داستان دیگر»، «داستان دوست» و «بچه‌های اسفرورین» و مجموعه‌های تلویزیونی «ارمغان تاریکی» (۱۳۸۹)، «سرزمین مادری» (۱۳۸۷) و «محکومین» (۱۳۹۶) و سریال‌های شبکه نمایش خانگی «ممنوعه» (۱۳۹۷)، «دل» (۱۳۹۸) و «شبکه مخفی زنان» (۱۴۰۱) نیز حضور داشته است.زن جوانی با صورت بیضی شکل، بینی متوسط، چشمانی قهوه‌ای، ابروهای مرتب و پرپشت، پوست روشن و موهای قهوه‌ای که با روسری آبی پوشیده شده است. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/b/b7/LeilaZare.jpg', 'https://drive.google.com/uc?id=1H8g2_zoM6jBCrzrtBp9IMpE1GQVExg6e']"
کیوان محمودنژاد,کیوان محمودنژاد، بازیگر، در ۲۴ فروردین ۱۳۵۷ در تهران متولد شد. از آثار شاخص او می‌توان به فیلم‌هایی چون «دو روز با هم»، «یک اتفاق ساده»، «گام آخر»، «چای جوشیده»، «کرانه‌های امید»، «مهمان حبیب خداست»، «صدایم کن»، «نیمه تاریک»، «چهارگاه»، «به همین راحتی»، «نیمکتی برای دونفر»، «آسمانی‌ها»، «نمایش تمام شد»، «سفر به چزابه»، «رأی باز»، «چند تار مو»، «نعل وارونه»، «لباس شخصی» و مجموعه‌های تلویزیونی «ماجراهای خانه شماره ۱۳»، «همشاگردی‌ها»، «تصمیم نهایی»، «کلانتر»، «گارد ساحلی»، «دنا»، «تا رهایی»، «سرنوشت»، «سلام زندگی»، «برای یک گذشته دست‌نویس (شاید برای شما هم اتفاق بیفتد)»، «پشت درهای خاکی»، «ماجراهای خانه قدیمی»، «نرگس ۱»، «سامیه»، «داوطلب»، «نیستان»، «قلب»، «کیمیای خاک» و نمایش‌های «مرد فرزانه؛ ببر دیوانه»، «سلام سلام»، «آخرین نوار کراپ»، «آواز قو»، «سرانجام یزدگرد»، «ماه، چاه، ستاره»، «آقای توپاز»، «زارع شیکاگو»، «حسرت، رؤیا، آرزو»، «تقاطع ۲۰۰۲»، «سایه‌های اژدهاک»، «در اینجا»، «نوشتن در تاریکی»، «رویای آمریکایی» و «دل سگ» اشاره نمود. دوره فعالیت او از ۱۳۷۰ تاکنون است.مردی با صورت بیضی شکل، بینی متوسط، چشمان تیره، ابروهای ضخیم، موهای تیره و صاف بدون سبیل و ریش. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['https://drive.google.com/uc?id=1nSkp5Omz1TYgyft6z06nlJMSzvqPMLv0', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Keyvan_mahmood_nezhad1.png']"
پرویز صیاد,پرویز صیاد، بازیگر، فیلم‌نامه‌نویس، نمایش‌نامه‌نویس، کارگردان، تهیه‌کننده و نویسنده، در سال ۱۳۱۸ در لاهیجان، گیلان به دنیا آمد. او آثاری چون «می‌میرم برای پول»، «حسن کچل»، «دایی جان ناپلئون» (سریال تلویزیونی)، «صمد و قالیچه حضرت سلیمان»، «صمد و سامی، لیلا و لیلی»، «صمد به مدرسه می‌رود»، «صمد آرتیست می‌شود»، «صمد خوشبخت می‌شود»، «صمد در راه اژدها»، «در امتداد شب»، «صمد دربه‌در می‌شود»، «بن‌بست»، «صمد به شهر می‌رود»، «فرستاده»، «سرحد»، «اختاپوس»، «آدم به آدم»، «ماجراهای صمد»، «مأمور ما صمد در بالاتر از خطر»، «دایی‌جان ناپلئون» (مجموعه تلویزیونی)، «خر: کمدی، تراژدی، در سه بخش»، «راه دش‍وار س‍ی‍ن‍م‍ای در ت‍ب‍ع‍ی‍د»، «مردی که مرده بود و خود نمی‌دانست»، «مستأجر»، «شیرین عبادی و جایزهٔ صلحش»، «تعزیه حر»، «مأمور ما صمد در بالاتر از خطر!: مجموعهٔ تلویزیونی از پرویز صیاد در ۱۳ قسمت»، «سرایدار» و «ماشین‌نویسها و ببر» را خلق کرده است.مردی با صورت کشیده، بینی متوسط و کمی پهن، چشمان بزرگ و قهوه‌ای، ابروهای ضخیم و پرپشت، موهای مشکی کوتاه، سبیل و ریش کامل و مشکی. به نظر می‌رسد در دهه چهارم یا پنجم زندگی باشد.,"['https://drive.google.com/uc?id=1b_BYAymBNzI6XF0JaJVeYBbBtZAXIzcK', 'https://upload.wikimedia.org/wikipedia/fa/9/99/%D9%BE%D8%B1%D9%88%DB%8C%D8%B2_%D8%B5%DB%8C%D8%A7%D8%AF.jpeg']"
اصغر همت,اصغر همت، زاده ۲۷ شهریور ماه ۱۳۳۱ در شیراز، استان فارس، در عرصه‌های سینما و تئاتر به فعالیت پرداخته است. از آثار شاخص او می‌توان به فیلم‌های «تگرگ و آفتاب» (۱۳۹۳)، «یه حبه قند» (۱۳۹۰)، «بیخوابی» (۱۳۸۸)، «آخرین ملکه زمین» (۱۳۸۵)، «مقلد شیطان» (۱۳۸۵)، «پرونده هاوانا» (۱۳۸۴)، «فیلم شاهزاده ایرانی» (۱۳۸۴)، «زشت و زیبا» (۱۳۷۷)، «هفت سنگ» (۱۳۷۶)، «ماه و خورشید» (۱۳۷۴)، «علی و غول جنگل» (۱۳۶۹)، «در مسیر تندباد» (۱۳۶۷)، «روزهای انتظار» (۱۳۶۵)، «شیر سنگی» (۱۳۶۵)، «ما ایستاده‌ایم» (۱۳۶۳)، «سرخپوست‌ها» (۱۳۵۷) و «ماجراهای علاءالدین و چراغ جادو» (۱۳۵۷) اشاره کرد. همچنین او در مجموعه‌های تلویزیونی «هزار دستان» (۱۳۵۸)، «امام علی» (۱۳۷۰)، «هفت‌سنگ» (۱۳۷۷)، «آژانس دوستی» (۱۳۷۸)، «آهوی ماه نهم» (۱۳۸۳)، «چهل سرباز» (۱۳۸۶)، «مثل هیچ‌کس» (۱۳۸۷)، «نوشدارو» (۱۳۹۲)، «پازل» (۱۳۹۳)، «زمین گرم» (۱۳۹۹) و «بعد از آزادی» (۱۴۰۰) نیز به ایفای نقش پرداخته است. او از سال ۱۳۵۷ تاکنون فعال بوده است.مردی با صورت کشیده و چروک‌های ظریف، بینی متوسط، چشمان تیره، ابروهای پرپشت، موهای خاکستری موج‌دار، بدون سبیل و ریش. به نظر می‌رسد در دهه ششم زندگی باشد.,"['https://drive.google.com/uc?id=1y1igf2LmV0V9QBtz5Grd0zn-QIDP9o_f', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Asqar_Hemmat_01_%280%29.jpg']"
عبدالرضا اکبری,عبدالرضا اکبری، متولد ۱۴ فروردین ۱۳۳۲ در شهر کرمان، از دوران ۱۳۶۳ تا اکنون در عرصه هنر فعالیت داشته و به عنوان بازیگر شناخته می‌شود. او در فیلم‌هایی چون «در سایه مادر»، «لبخند خدا»، «رهاتر از دریا»، «فرزند صبح»، «ایستگاه بهشت»، «اخراجی‌ها»، «ابجد»، «روز کارنامه»، «تو آزادی»، «سمفونی تاریک»، «دختری با کفش‌های کتانی»، «ساغر»، «سرعت»، «بازی با مرگ»، «قانون»، «روز شیطان»، «آن‌ها هیچ‌کس را دوست ندارند»، «پناهنده»، «زیر سایه کنار»، «مأموریت آقای شادی»، «مستأجر»، «آقای بخشدار»، «آخرین پرواز»، «صنوبرهای سوزان»، «فانی»، «کانی مانگا»، «مکافات»، «اتاق یک»، «بی‌پناه»، «جدال در تاسوکی»، «زندان دوله تو»، «فیلم ۲۷ برج»، «بچه‌مهندس ۴» و «آن‌ها هیچ‌کس را دوست ندارند» نقش‌آفرینی کرده است. همچنین، او در سریال‌هایی از جمله «آتش سرد»، «آنام»، «شکوه یک زندگی»، «معمای شاه»، «شیوع»، «دلنوازان»، «عملیات ۱۲۵»، «روزهای اعتراض»، «راز ققنوس»، «جستجو در شهر»، «پرونده‌های مجهول»، «بازگشت به زندگی»، «تولدی دیگر»، «دوست»، «مادر»، «شن‌های کف رودخانه»، «جادهٔ ابریشم ۲۰۰۰»، «همه فرزندان من»، «دشمن»، «بازی با مرگ (مزد ترس ۲)»، «زمزمه محبت»، «باغ گیلاس»، «لبخند زندگی»، «روزگار وصل»، «مزد ترس (قابیل)»، «همراهان»، «پیر وفا (تاریخ اسلام)» و «طالب» نیز حضور داشته است. وی در تله‌فیلم‌هایی مانند «مهمان حبیب خداست»، «یازده دقیقه و سی ثانیه» و «خرچنگ» نیز بازی کرده است.مردی با صورت گرد و پوست تیره، بینی پهن، چشمان قهوه‌ای و ابروهای پرپشت، موهای موج‌دار و مشکی، بدون سبیل و ریش. به نظر می‌رسد در دهه پنجم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Abdolreza_Akbari.jpg/250px-Abdolreza_Akbari.jpg', 'https://drive.google.com/uc?id=18H_Sj5gAaZQ0S1memcOZ8SqkAf9_kuLh']"
لرتا هایراپتیان تبریزی,لرتا هایراپتیان تبریزی، که با نام «لرتا» نیز شناخته می‌شد، بین سال‌های ۱۳۱۰ تا ۱۳۵۰ در دوران فعالیت هنری خود، در عرصه بازیگری تئاتر، تلویزیون و سینما و همچنین کارگردانی تئاتر فعالیت داشت. او در سال ۱۲۹۰ در تهران متولد شد و در ۷ فروردین ۱۳۷۷ در وین درگذشت. از آثار شاخص او می‌توان به فیلم‌های «شب اعلام»، «احساس داغ»، «همای سعادت»، «معرکه»، «باشرف‌ها»، «تختخواب سه نفره»، «اسرار گنج دره جنی» و مجموعه تلویزیونی «خسرو میرزای دوم» اشاره کرد. همچنین او در نمایش‌های تئاتری متعددی از جمله «سرانجام هرمزان» (۱۳۱۲)، «قزل ارسلان پسر امیرارسلان رومی» (۱۳۱۲)، «اتلو» (۱۳۱۴)، «ولپن» (۱۳۲۳)، «سرگذشت (رزماری)» (۱۳۲۶)، «مردم (توپاز)» (۱۳۲۶)، «مستنطق» (۱۳۲۶)، «پرنده آبی» (۱۳۲۶)، «بادبزن خانم ویندرمیر» (۱۳۲۹)، «چراغ گاز» (۱۳۳۰)، «شنل قرمز» (۱۳۳۰)، «گناهکاران بی‌گناه» (۱۳۴۵) و «ماجرای شبانه» (۱۳۴۴) نیز ایفای نقش کرده است.زنی با صورت بیضی شکل، چشمانی بزرگ و مشخص، ابروهای باریک و موهای تیره و مرتب. پوست صاف به نظر می‌رسد و حدوداً در دهه سوم یا چهارم زندگی است.,"['https://drive.google.com/uc?id=1FKMG0OypXqFlKpA4Adl5TIKdNUnRMucD', 'https://upload.wikimedia.org/wikipedia/fa/6/63/Mademoiselle_Loreta.jpg']"
محمود پاک‌نیت,محمود پاک‌نیت، بازیگر، در تاریخ ۱۰ مهر ۱۳۳۱ در کازرون، فارس به دنیا آمد. او در دوران ۱۳۴۰ شمسی فعالیت هنری خود را آغاز کرده و در آثار متعددی از جمله فیلم‌های «گشتی‌ها»، «پرنده کاغذی»، «شاخه‌های بید»، «تابستان ۵۸»، «جای امن»، «آرایش مرگ»، «قله دنیا»، «غزال»، «لاک‌پشت»، «سرزمین خورشید»، «دنیای وارونه»، «مرد عوضی»، «جنگجوی پیروز»، «سیب سرخ حوا»، «باشگاه سری»، «دعوت به شام»، «صنوبر»، «بی تو تنهایم»، «ایستگاه متروک»، «عاشق مترسک»، «سفر به هیدالو»، «شهرآشوب»، «دل شکسته»، «ملک سلیمان»، «تردید»، «سفر مرگ»، «زمهریر»، «زیباتر از زندگی»، «پنجشنبه آخر ماه»، «ترنج»، «عشقولانس»، «نفس‌های آرام»، «آقای سانسور»، «دیدن این فیلم جرم است!» و «شین»، و همچنین مجموعه‌های تلویزیونی «اچی مچی»، «سیم حوت»، «درخت نارنج»، «بهار بودی، تو بودی»، «گشتی‌ها»، «روزی روزگاری»، «قصه‌های عینکم»، «پدرسالار»، «خورشید شب»، «کهنه‌سوار»، «فردا دیر است»، «فکر پلید»، «چشم‌به‌راه»، «هتل پیاده‌رو»، «روشن‌تر از خاموشی»، «پس از باران»، «شب دهم»، «فرستاده»، «راز شیوا»، «وارث»، «خانه‌ای در تاریکی»، «سلام»، «یوسف پیامبر»، «در چشم باد»، «ساختمان ۸۵»، «پشت کوه‌های بلند»، «خاطرات مرد ناتمام»، «خط»، «هفت‌سنگ»، «پرده‌نشین»، «شهرزاد»، «نفس گرم»، «ستاره شرق»، «پریا»، «گشت ویژه»، «سارق روح»، «آقای سانسور»، «دیدن این فیلم جرم است»، «مینو»، «به رنگ خاک»، «حکایت‌های کمال»، «دخترم نرگس»، «نوار زرد ۲»، «آبنبات هل دار»، «گیلدخت»، «آتش و باد»، «سنجرخان»، «تب و تاب»، «رستگاری» و «فریبا» به ایفای نقش پرداخته است.مردی با صورت کشیده و پوست روشن، بینی متوسط، چشمان کوچک و ابروهای نازک، موهای خاکستری و کلاه به سر دارد، سبیل خاکستری و بدون ریش. به نظر می‌رسد در دهه ششم یا هفتم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/4/4e/Mahmoud_Pak_Niat_in_Shahrzad_Series_closing_ceremony.jpg', 'https://drive.google.com/uc?id=1csJTfq8m7jplCGfGoIz_hTDEo8VkxRGn']"
نیوشا ضیغمی,نیوشا ضیغمی، متولد ۱۸ تیر ۱۳۵۹ در تهران، از سال ۱۳۸۰ تاکنون در عرصه بازیگری فعالیت می‌کند. از آثار شاخص او می‌توان به فیلم‌های «پول و پارتی» (۱۴۰۲)، «شهر گربه‌ها» (۱۳۹۹)، «زن‌ها فرشته‌اند ۲» (۱۳۹۸)، «ورود و خروج ممنوع» (۱۳۹۸)، «ما خیلی باحالیم» (۱۳۹۶)، «دخترعمو و پسرعمو» (۱۳۹۵)، «شام عاشقانه سه نفره» (۱۳۹۵)، «هشتگ» (۱۳۹۵)، «خوب، بد، جلف» (۱۳۹۴)، «ثبت با سند برابر است» (۱۳۹۴)، «هفت معکوس» (۱۳۹۴)، «آدم باش» (۱۳۹۳)، «ایران برگر» (۱۳۹۳)، «دریا و ماهی پرنده» (۱۳۹۳)، «آینه شمعدون» (۱۳۹۱)، «فیتیله و ماه‌پیشونی» (۱۳۹۰)، «گشت ارشاد» (۱۳۹۰)، «ما همه گناهکاریم» (۱۳۸۹)، «چارسو» (۱۳۸۹)، «دختر شاه پریون» (۱۳۸۹)، «یکی برای همه» (۱۳۸۹)، «پرتقال خونی» (۱۳۸۹)، «پرستوهای عاشق» (۱۳۸۹)، «دموکراسی تو روز روشن» (۱۳۸۹)، «زمهریر» (۱۳۸۸)، «شیرین» (۱۳۸۷)، «اخراجی‌ها ۲» (۱۳۸۷)، «تلافی» (۱۳۸۶)، «توفیق اجباری» (۱۳۸۶)، «قرنطینه» (۱۳۸۶)، «اخراجی‌ها» (۱۳۸۵)، «پارک‌وی» (۱۳۸۵)، «حس پنهان» (۱۳۸۵)، «گناه من» (۱۳۸۵)، «تردست» (۱۳۸۳)، «شوریده» (۱۳۸۳)، «مواجهه» (۱۳۸۳) و مجموعه‌های تلویزیونی «بی نشان» (۱۴۰۱)، «راستش را بگو» (۱۳۹۰) و «در چشم باد» (۱۳۸۲) اشاره کرد.زن جوانی با صورت بیضی شکل، بینی متوسط، چشمان تیره، ابروهای مرتب و پرپشت، موهای بلوند پوشیده با روسری مشکی و پوست روشن. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FNA_interview_with_Niusha_Zeighami_%2813920314162827354%29.jpg/250px-FNA_interview_with_Niusha_Zeighami_%2813920314162827354%29.jpg', 'https://drive.google.com/uc?id=1jswqeECo-QKzBoQkBsS0Wnutcfn8623Z']"
لیلا بلوکات,لیلا بلوکات، بازیگر و بنیان‌گذار مؤسسهٔ خیریهٔ مهر لیلا، در سال ۱۳۶۲ در تهران متولد شد. او در دوران فعالیت خود در آثار متعددی از جمله فیلم‌هایی چون «آنها مرا دوست داشتند»، «همه چی عادیه»، «نفس‌های آرام»، «کوتاه مثل زندگی»، «دراکولا»، «آس و پاس»، «پنج ستاره»، «آینه شمعدون»، «عملیات مهد کودک»، «جیب‌بر خیابان جنوبی»، «آقا یوسف» و «سیا زنگی»، و همچنین فیلم‌های «اخراجی‌ها ۲» و «ابراهیم خلیل‌الله» حضور داشته است. علاوه بر این، وی در مجموعه‌های تلویزیونی «روزهای زندگی»، «همسفر»، «آبدارشاه»، «سرزمین خاکستری»، «مزه خوب کودکی ۲»، «نقش بر آب»، «یکی مثل من»، «یوسف پیامبر»، «پدرخوانده»، «روز رفتن»، «خسته دلان»، «جراحت»، «آسمان همیشه ابری نیست»، «سایه روشن»، «راز و نیاز»، «راز پنهان»، «زمانی برای عاشقی»، «هشتگ خاله سوسکه»، «لحظهٔ گرگ و میش»، «از یادها رفته» و «از سر نوشت» (که در فصل‌های اول، دوم، سوم و چهارم منتشر شد) به ایفای نقش پرداخته است. او همچنین در تئاتر آثاری چون «ماسک»، «هوس و هفت دقیقه»، «آواز پر جبرئیل»، «شکار مرغابی»، «خانه عروسک»، «رام کردن مرد سرکش» و «روز سیاووش» به روی صحنه رفته است. فعالیت‌های او در دههٔ ۱۳۷۰ تاکنون ادامه داشته است.زنی با صورت بیضی شکل، بینی متوسط، چشمان قهوه‌ای، ابروهای نازک و پر رنگ، موهای مشکی پوشیده با شال، بدون سبیل و ریش. به نظر می‌رسد در دهه چهارم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/1/1f/Leila_Bloukat.jpg', 'https://drive.google.com/uc?id=1hQ827owtKhcIVsTlProapjMCk-3-NSfo']"
مهرداد صدیقیان,مهرداد صدیقیان، متولد ۳۰ بهمن ۱۳۶۷ در تهران، در دهه ۱۳۸۰ فعالیت خود را به عنوان بازیگر آغاز کرد. از آثار او می‌توان به فیلم‌های «ساعت ۶ صبح»، «شه‌سوار»، «سال گربه»، «تصور»، «لامینور»، «تا ابد»، «سونامی»، «طلا»، «سمفونی نهم»، «ایده اصلی»، «عطر داغ»، «شماره ۱۷ سهیلا»، «زرد»، «ماجرای نیمروز»، «ترومای سرخ»، «لابی»، «پدیده»، «اروند»، «خماری»، «مادر قلب اتمی»، «ناخواسته»، «به تهران خوش آمدید»، «قاعده تصادف»، «یک خانواده محترم»، «پنهان»، «آوانتاژ»، «زمهریر»، «سپید و سیاه»، «حیران»، «موج سوم»، «سفر مرگ»، «دیوار»، «اتوبوس شب» و «عصر جمعه» اشاره کرد. همچنین در مجموعه‌های نمایش خانگی «جان‌سخت»، «بلیط یک طرفه»، «داریوش»، «پوست شیر»، «رقص روی شیشه» و «شاهگوش»، مجموعه‌های تلویزیونی «خندوانه (فصل۴)»، «دورهمی»، «مدینه»، «دیوار»، «حیرانی» و «سقوط یک فرشته»، همچنین در «مهمانی (فصل۱ قسمت ۹)» از مجموعه نمایشی و «پیش‌گو (قسمت ۶)» از تاک شو حضور داشته است. او همچنین در فیلم‌های کوتاه «زنی پوشیده با گردنبند» و «نقطه» بازی کرده است.مردی با صورت بیضی شکل، بینی متوسط، چشمان قهوه‌ای، ابروهای پهن، موهای پرپشت و موج‌دار سیاه، سبیل و ریش کوتاه. به نظر می‌رسد در دهه سوم زندگی باشد.,"['https://drive.google.com/uc?id=1Uhm_ogEVpJiBkgAb-4qqlwY9NPqG5RqE', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Mehrdad_Sedighian.jpg']"
هادی اسلامی,هادی اسلامی، متولد ۱۷ شهریور ۱۳۱۸ در تهران، بازیگر بود و در ۹ خرداد ۱۳۷۲ بر اثر سکته قلبی در تهران درگذشت. از آثار او می‌توان به فیلم‌های «بدل»، «سهراب تا سهراب»، «طعمه»، «مستأجر»، «تبعیدی‌ها»، «ساده‌لوح»، «شتاب‌زده»، «خواستگاری»، «دل نمک»، «سرب»، «شاخه‌های بید»، «بهار در پائیز»، «جهیزیه برای رباب»، «قصه زندگی»، «معما»، «مقاومت»، «میهمانی خصوصی»، «آوار»، «اتوبوس»، «آشیانه مهر»، «مترسک»، «مرگ سفید»، «ملخ زدگان»، «دست شیطان»، «قدیس»، «آقای هیروگلیف»، «موج طوفان» و مجموعه‌های تلویزیونی «سمک عیار»، «دلیران تنگستان»، «روزگار وصل»، «بازنشستگی»، «هشت‌بهشت»، «جنگی برای فردا» و «مرغ حق» اشاره کرد. دوره فعالیت او ۱۳۴۲–۱۳۷۲ بود.مردی با صورت کشیده و پوست روشن، بینی برجسته و مستقیم، چشمان قهوه‌ای تیره، ابروهای پرپشت و سیاه، موهای کوتاه و مشکی، با سبیلی پرپشت و بدون ریش. به نظر می‌رسد در دهه پنجم یا ششم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/%D8%AA%D8%B5%D9%88%DB%8C%D8%B1_%D9%87%D8%A7%D8%AF%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%AF%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%A7%D8%AA%D9%88%D8%A8%D9%88%D8%B3.jpg/250px-%D8%AA%D8%B5%D9%88%DB%8C%D8%B1_%D9%87%D8%A7%D8%AF%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%AF%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%A7%D8%AA%D9%88%D8%A8%D9%88%D8%B3.jpg', 'https://drive.google.com/uc?id=1n-qcjx_x53TI-Lasz8YpHuJkEFmem0Sy', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Grave_of_Hadi_Eslami.JPG/250px-Grave_of_Hadi_Eslami.JPG', 'https://drive.google.com/uc?id=1PwTYcuzHEj_tG-SRcEhBdf_NKrjdUTzv']"
گیتی معینی,گیتی معینی، بازیگر، در ۲۹ مهر ۱۳۲۳ در کرمانشاه به دنیا آمد. دوران فعالیت او از سال ۱۳۷۰ تاکنون ادامه داشته است. از آثار برجسته او می‌توان به فیلم‌هایی چون «مفت‌بر» (۱۴۰۲)، «قیف» (۱۴۰۱)، «ابلق» (۱۳۹۹)، «چند میگیری گریه کنی ۲» (۱۳۹۸)، «قسم» (۱۳۹۷)، «آپاچی» (۱۳۹۷)، «اشیاء از آنچه در آینه می‌بینید به شما نزدیکترند» (۱۳۹۱)، «گشت ارشاد» (۱۳۹۰)، «پوست موز» (۱۳۸۷)، «توفیق اجباری» (۱۳۸۶)، «چند می‌گیری گریه کنی» (۱۳۸۴)، «کوچولوی خوش‌شانس» (۱۳۸۳)، «من بن لادن نیستم» (۱۳۸۳)، «مربای شیرین» (۱۳۸۰)، «یکی بود یکی نبود» (۱۳۷۹)، «کودک و سرباز» (۱۳۷۸)، «دو زن» (۱۳۷۷)، «حسرت» (۱۳۷۳) و فیلم کوتاه «همه چیز در معرض فروش» (۱۴۰۰) و مجموعه‌های تلویزیونی «بدل» (۱۴۰۲)، «جناب عالی» (۱۴۰۱)، «پلاک ۱۳» (۱۴۰۰)، «حورا» (۱۴۰۰)، «با خانمان» (۱۳۹۹)، «کامیون» (۱۳۹۹)، «محله گل و بلبل ۳» (۱۳۹۸)، «سر دلبران» (۱۳۹۷)، «سفر در خانه» (۱۳۹۶)، «برادر» (۱۳۹۵)، «آقا و خانم سنگی» (۱۳۹۴)، «آخرین ماشین دنیا» (۱۳۹۳)، «رفیق» (۱۳۹۳)، «اولین انتخاب» (۱۳۹۲)، «دودکش» (۱۳۹۱)، «سایه‌روشن» (۱۳۹۰)، «سه دونگ، سه دونگ» (۱۳۸۹)، «خانه اجاره‌ای» (۱۳۹۰)، «خوش‌نشین‌ها» (۱۳۸۹)، «چاردیواری» (۱۳۸۸)، «عید امسال» (۱۳۸۸)، «مسافر زمان ۲» (۱۳۸۷)، «تا صبح» (۱۳۸۵)، «جابربن‌حیان» (۱۳۸۵)، «برای آخرین بار» (۱۳۸۴)، «خانه به دوش» (۱۳۸۳)، «نقطه چین» (۱۳۸۲)، «چراغ جادو» (۱۳۷۹)، «پلیس جوان» (۱۳۷۹)، «وکیل محله» (۱۳۷۹)، «پانزده مسافر» (۱۳۷۹)، «یلدای قدر» (۱۳۷۹)، «امشب چی؟» (۱۳۷۸)، «گنج» (۱۳۷۸)، «هتل» (۱۳۷۷)، «عید آن سال‌ها» (۱۳۷۷)، «روزی عقابی» (۱۳۷۷)، «راز یک خزان» (۱۳۷۷)، «رنگ خاکستری» (۱۳۷۷)، «قصه زندگی» (۱۳۷۷)، «ماه آتش» (۱۳۷۷)، «پسران عاقل» (۱۳۷۶)، «جادوی مهتاب» (۱۳۷۶)، «تهران ۱۱- ۵۹۵ ج ۴۸» (۱۳۷۵)، «خانه به خانه» (۱۳۷۵)، «ماجراهای خانه شماره ۱۳» (۱۳۷۵)، «مدرسه مادربزرگ‌ها» (۱۳۷۵)، «دزدان مادربزرگ» (۱۳۷۴)، «حقیقت در آینه» (۱۳۷۴)، «رؤیای نرگس» (۱۳۷۴)، «رنگ سبز نارون» (۱۳۷۴)، «داستان یک زندگی» (۱۳۷۴)، «مهر سکوت» (۱۳۷۴)، «فراری» (۱۳۷۴)، «در تاریکی شب» (۱۳۷۴)، «آفتاب و عزیزخانم» (۱۳۷۳)، «خانه در آتش» (۱۳۷۳)، «خانهٔ من کجاست؟» (۱۳۷۱)، «خاله سارا» (۱۳۷۱)، «از پا نیفتاده» (۱۳۷۲)، «یک سؤال و چند جواب» (۱۳۷۱) و «شما بگوئید چه کنم؟» (۱۳۷۰)، «برگ‌ریزان» (۱۳۷۰) و آثاری در شبکه خانگی مانند «سیلی شیرین» (۱۳۹۰) و «بیچاره‌ها» (۱۳۸۹) اشاره کرد.زنی مسن با صورت گرد، بینی معمولی، چشمان متوسط به تیره، ابروهای نازک و خاکستری، موهای خاکستری پوشیده با روسری و پوست روشن. به نظر می‌رسد در دهه هفتم زندگی باشد.,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/%DA%AF%DB%8C%D8%AA%DB%8C_%D9%85%D8%B9%DB%8C%D9%86%DB%8C.jpg', 'https://drive.google.com/uc?id=1jYi_ha2MfgbaySGmokG9-Pnjfv7xEoIA']"
