name,biography
لیلی جهان‌آرا,"لیلی جهان‌آرا، که با نام لیلی امیر ارجمند نیز شناخته می‌شود، در سال ۱۹۳۸ در تهران، استان تهران به دنیا آمد. او در دوران پهلوی فعالیت می‌کرد و سمت‌های مدیر آموزشی، مدرس دانشگاه، مدیرعامل کانون پرورش فکری کودکان و نوجوانان، رئیس کتابخانه‌ی دانشگاه ملی، رئیس کتابخانه‌ی شرکت ملی نفت ایران، استادیار کتابداری دانشگاه تهران و عضو شورای آموزش کشور را بر عهده داشت. از آثار شاخص او می‌توان به ""کانون پرورش فکری کودکان و نوجوانان"" اشاره نمود."
میرزا محمدتقی‌خان فراهانی,میرزا محمدتقی‌خان فراهانی، ملقب به امیرکبیر، در دوره ناصرالدین‌شاه به عنوان صدراعظم فعالیت می‌کرد. او در تاریخ ۱۹ اکتبر ۱۹۴۸ در هزاوه، استان مرکزی به دنیا آمد و در ۱۳ نوامبر ۱۹۵۱ در کاشان، استان اصفهان درگذشت. از آثار او می‌توان به دارالفنون و روزنامۀ وقایع اتفاقیه اشاره نمود.
عبدالله انتظام,عبدالله انتظام، که در دوره دودمان پهلوی می‌زیست، در اول ژانویه ۱۸۹۵ میلادی در تهران متولد شد و در سوم ژانویه ۱۹۸۳ میلادی درگذشت. او دیپلمات، سیاست‌مدار، مدیر ارشد اجرایی، وزیر امور خارجه و سفیر بود. از فعالیت‌های او می‌توان به وزیر امور خارجه ایران در کابینه حسین علاء، وزیر امور خارجه ایران در کابینه فضل‌الله زاهدی، سفیر ایران در آلمان، و رئیس هیئت مدیره و مدیرعامل شرکت ملی نفت ایران اشاره کرد. عبدالله انتظام در پانزده خرداد ۱۳۴۲ از سمت خود برکنار شد زیرا با خشونت ورزیدن در تظاهرات مخالفت کرد. او در زمان سفارت در آلمان به لژ فراماسونری وارد شد.
جمشید انصاری,جمشید انصاری، سیاستمدار، معاون رئیس جمهور و رئیس سازمان اداری و استخدامی، در سال ۱۹۵۵ در شهر زنجان، استان زنجان به دنیا آمد. او از نمایندگان مجلس ششم در جریان تحصن حمایت کرد و در صورت عدم نتیجه‌بخش بودن نامه 'جام زهری' به رهبر معظم انقلاب، تهدید به استعفا نمود.
هوشنگ انصاری,هوشنگ انصاری، در سال ۱۹۲۷ در اهواز، خوزستان متولد شد. او به عنوان سیاست‌مدار، دیپلمات، سرمایه‌دار، نیکوکار و مدیر اجرایی فعالیت داشته است.
جواد اوجی,جواد اوجی، سیاستمدار، وزیر نفت و قائم‌مقام رئیس سازمان انرژی اتمی ایران، در تاریخ ۲۴ ژوئیه ۱۹۶۶ در شیراز، استان فارس به دنیا آمد. او از ۵ مهر ۱۴۰۳ قائم‌مقام رئیس سازمان انرژی اتمی ایران است. او در دوره دولت سیزدهم فعالیت داشته است.
محمدهادی ایمانیه,محمدهادی ایمانیه، متولد سال ۱۹۶۲ در شیراز، استان فارس، در دوره دولت سیزدهم فعالیت داشته است. او به‌عنوان پزشک و سیاستمدار شناخته می‌شود.
باقر خان,باقر خان، که با نام مستعار «سالار ملّی» نیز شناخته می‌شود، در سال ۱۸۶۲ میلادی در تبریز، آذربایجان شرقی به دنیا آمد و در سال ۱۹۱۶ میلادی در کردستان، کردستان درگذشت. او به‌عنوان مبارز فعالیت می‌کرد. او از دوران جنبش مشروطه ایران بود.
محمدباقر باقری,محمدباقر باقری، که با نام مستعار باقری کنی نیز شناخته می‌شود، در سال ۱۹۲۶ میلادی در شهر کن استان گیلان به دنیا آمد. او در حرفه‌های روحانی، سیاستمدار و استاد دانشگاه فعالیت داشته است. در میان آثار او می‌توان به سرپرستی دانشگاه امام صادق (۱۳۹۳-۱۳۹۴) و عضویت در مجلس خبرگان رهبری (دوره‌های اول، دوم و چهارم) اشاره کرد. همچنین، وی در سال ۱۳۹۴ در انتخابات مجلس خبرگان ناکام ماند.
ابوالقاسم خان بختیار,"ابوالقاسم خان بختیار، در دوران پهلوی، در اول ژانویه ۱۹۱۴ میلادی در تهران متولد شد و در ۹ ژوئن ۱۹۵۶ میلادی درگذشت. او به عنوان رجال سیاسی و خان شناخته می‌شد و مقبره وی در اردل قرار دارد. از وقایع مرتبط با او می‌توان به ""قیام علیه دولت مرکزی"" اشاره کرد."
میرزا احمدخان نصیرالدوله,"میرزا احمدخان نصیرالدوله، معروف به ""بَدِر""، در سال ۱۸۷۰ در رشت، گیلان به دنیا آمد و در سال ۱۹۳۰ در تهران درگذشت. او به عنوان پیشگام آموزش و پرورش مدرن و دولتمرد فعالیت می‌کرد. وی در دوران قاجار و پهلوی می‌زیست."
میرزا محمود خان بروجردی,میرزا محمود خان بروجردی، ملقب به حکیم‌الملک، در سال ۱۸۵۶ در بروجرد، لرستان به دنیا آمد و در ۱۹۰۳ در تبریز، آذربایجان شرقی درگذشت. او به عنوان پزشک دربار مظفرالدین شاه فعالیت می‌کرد.
فروغی بسطامی,فروغی بسطامی، در سال ۱۷۹۸ در اندرآت خراسان رضوی متولد شد و در سال ۱۸۶۷ درگذشت. او که در دوره قاجار می‌زیست، به عنوان غزل‌سرا و شاعر فعالیت می‌کرد. فروغی بسطامی معاصر سه تن از پادشاهان قاجار بود: فتحعلی شاه، محمد شاه و ناصرالدین شاه.
سعید بشیرتاش,سعید بشیرتاش، نویسنده، جراح، دندانپزشک و فعال سیاسی، در سال ۱۹۶۱ در تهران متولد شد. او بنیانگذار و مسئول جبهه هفت آبان بود و در آبان ۱۴۰۱ در بروکسل نشستی از فعالان سیاسی اپوزیسیون را دعوت و میزبانی کرد.
سید عبدالله بهبهانی,سید عبدالله بهبهانی، در سال ۱۸۴۰ در شهر نجف، استان نجف به دنیا آمد و در چهارمین روز از پنجمین ماه سال ۱۲۸۹ شمسی در تهران درگذشت. او مجتهد شیعه و رهبر جنبش مشروطه بود. دوران او به دوره مشروطه ایران تعلق دارد. از وقایع زندگی او می‌توان به ترور در خانه‌اش اشاره کرد.
سید مصطفی تاج‌زاده,سید مصطفی تاج‌زاده، سیاستمدار و زندانی سیاسی، در تاریخ ۳۱ اوت ۱۹۵۷ در تهران متولد شد. او در دوران معاصر زیست و از وقایع مهم زندگی او می‌توان به عضویت در شورای مرکزی جبهه مشارکت ایران اسلامی، عضویت در سازمان مجاهدین انقلاب اسلامی ایران، معاونت سیاسی وزیر کشور در دوران اصلاحات، سرپرستی وزارت کشور پس از استیضاح عبدالله نوری و معاونت امور بین‌الملل وزیر فرهنگ و ارشاد اسلامی در دوران دولت موسوی اشاره کرد.
فریدون جم,فریدون جم، ارتشبد ارتش ایران، در سال ۱۹۱۴ میلادی در تهران متولد شد و در تاریخ ۱۳ اکتبر ۲۰۰۰ میلادی در لندن، انگلیس درگذشت. دوره زندگی او به دوران رضا شاه و محمدرضا پهلوی بازمی‌گردد.
جمشید جمشیدیان,جمشید جمشیدیان که با نام ارباب جمشید نیز شناخته می‌شود، در سال ۱۸۵۰ در شهر یزد به دنیا آمد و در سال ۱۹۳۲ در تهران درگذشت. وی در دوران قاجاریه به‌عنوان بازرگان، ثروتمند، ملاک و نماینده مجلس فعالیت می‌کرد. جمشید جمشیدیان بنیان‌گذار بانک ملی ایران بود. همچنین او در پیروزی انقلاب مشروطیت نقش داشته است.
میرحسین موسوی خامنه,میرحسین موسوی خامنه، سیاستمدار و نخست‌وزیر، در ۲۹ سپتامبر ۱۹۴۱ در خامنه، خوزستان به دنیا آمد. او قائم‌مقام دبیرکل حزب جمهوری اسلامی و نخستین سردبیر روزنامهٔ جمهوری اسلامی بوده است. در دوران جمهوری اسلامی ایران، او در رویدادی چون خیزش ۱۴۰۱ ایران نقش داشته است.
آقامحمدخان قاجار,آقامحمدخان قاجار، شاه ایران، در ۱۴ مارس ۱۷۴۲ در گرگان، گلستان به دنیا آمد و در ۱۷ ژوئن ۱۷۹۷ در شوشی، نقشبندان درگذشت. او بنیان‌گذار دودمان قاجار بود.
میرزا علی‌اصغر خان اتابک,میرزا علی‌اصغر خان اتابک، ملقب به امین‌السلطان، صاحب‌جمع و اتابک اعظم، در دوران قاجار در تاریخ ۱ ژوئن ۱۸۵۸ در تهران به دنیا آمد و در تاریخ ۳۱ اوت ۱۹۰۷ در تهران درگذشت. او در حرفه‌های صدراعظم، وزیر و وزیراعظم فعالیت داشت.
محمدجواد باهنر,"محمدجواد باهنر، روحانی، اندیشمند، نخست‌وزیر، دبیرکل حزب جمهوری اسلامی، وزیر آموزش و پرورش، معلم و تدوینگر کتب درسی دینی، در سال ۱۳۵۷ هجری شمسی در پسا انقلاب ۱۳۵۷ متولد شد. از آثار او می‌توان به ""تدوین کتب درسی دینی و قرآن"" و ""تدوین و تألیف کتب مذهبی مدارس ایران"" اشاره کرد. وی در تاریخ ۱۳۶۰/۰۸/۰۶ در تهران، واقع در بهشت زهرا، ترور شد."
تیمور بختیار,تیمور بختیار، سپهبد نیروی زمینی شاهنشاهی، بنیانگذار ساواک و رئیس ساواک، در تاریخ ۱ ژانویه ۱۹۱۴ در اصفهان به دنیا آمد و در تاریخ ۱۶ اوت ۱۹۷۰ در دیاله، عراق درگذشت. در دوران پهلوی، او شاهد وقایعی چون اعدام غیابی به اتهام خیانت، قتل توسط ساواک و تشکیل گروه کودتا با همکاری صدام حسین بود.
شاپور بختیار,شاپور بختیار، سیاستمدار و نخست‌وزیر، در اول ژانویه ۱۹۱۴ در اصفهان به دنیا آمد. او در هشتم ژوئن ۱۹۹۱ در سورزن، تهران درگذشت و در گورستان مون‌پارناس به خاک سپرده شد. از رویدادهای مهم زندگی او می‌توان به نخست‌وزیری ایران از ۱۵ دی تا ۲۲ بهمن ۱۳۵۷ اشاره کرد. او متعلق به دوره ۱۹۷۹ بود.
سید محمد حسینی بهشتی,سید محمد حسینی بهشتی، که با نام مستعار سید محمد بهشتی نیز شناخته می‌شود، در ۲۴ اکتبر ۱۹۲۸ در اصفهان متولد شد و در ۲۸ ژوئن ۱۹۸۱ در تهران درگذشت. او روحانی، سیاستمدار، رئیس شورای عالی قضایی، رئیس دیوان عالی کشور، دبیرکل حزب جمهوری اسلامی و نائب‌رئیس مجلس خبرگان قانون اساسی بود. او در دوره‌ی زمانی ۱۹۷۹-۱۹۸۱ فعالیت داشت.
محمدتقی پسیان,محمدتقی پسیان، که با نام کلنل محمدتقی‌خان پسیان نیز شناخته می‌شود، در دوره قاجار در تبریز، آذربایجان شرقی، متولد شد و در چهارم اردیبهشت ماه ۱۳۰۰ در قوچان، خراسان رضوی، درگذشت. او شغل نظامی داشت. از وقایع مهم زندگی او می‌توان به شورش علیه دولت مرکزی و درگیری با عشایر کرد کرمانج اشاره کرد.
حمیدرضا چیتگر,"حمیدرضا چیتگر که با نام حمید بهمنی نیز شناخته می‌شود، در تاریخ ۱۳۲۸/۰۴/۱۶ در شهر بابل، استان بابل به دنیا آمد. او سیاستمدار و سوسیالیست بود و در تاریخ ۱۳۶۶/۰۲/۲۹ در اتریش درگذشت. مقبره او در گورستان پر-لاشز واقع شده است. در دوران انقلاب ۱۳۵۷ فعالیت داشت و در زندگی او رویداد ""ترور"" رخ داده است."
خَشایارشای یکم,خَشایارشای یکم، معروف به خَشایارشای بزرگ، شاهنشاه دوره هخامنشی، در ۲۰ مارس ۲۰۲۴ در ایران متولد شد و در سال ۰۴۶۵ در فارس، شهر پارس درگذشت.
خشایارشای دوم,خشایارشای دوم، که شاهنشاه دوره هخامنشی بود، در تاریخ ۲۰ مارس ۲۰۲۴ در ایران به دنیا آمد و در تاریخ ۱ ژانویه ۴۲۴ در تخت جمشید، فارس درگذشت. او طی فرمانروایی ۴۵ روزه خود، به دست سغدیانه کشته شد.
محمدعلی رجایی,محمدعلی رجایی، سیاستمدار و معلم، در ۱۵ ژوئن ۱۹۳۳ در قزوین به دنیا آمد. او در ۴ اوت ۱۳۶۰ در تهران درگذشت. رجایی دومین رئیس‌جمهور ایران (۱۱ اوت - ۸ سپتامبر ۱۹۸۰) و چهل و دومین نخست‌وزیر ایران (تا اوت ۱۹۸۰) بود. او در جمهوری اسلامی ایران فعالیت می‌کرد.
حاجعلی رزم‌آرا,حاجعلی رزم‌آرا، که در دوره ارتش شاهنشاهی فعالیت می‌کرد، در تاریخ ۱ فروردین ۱۳۰۰ (۱۹۰۱-۰۱-۰۱) در تهران به دنیا آمد و در تاریخ ۱۸ اسفند ۱۳۲۹ (۱۹۵۱-۰۳-۰۸) در تهران درگذشت. او در مشاغلی همچون نظامی، سیاستمدار، سپهبد نیروی زمینی و نخست‌وزیر فعالیت داشت. از وقایع مهم زندگی او می‌توان به ترور توسط خلیل طهماسبی (فدائیان اسلام) اشاره کرد.
عباسعلی سلیمانی اسبوکلائی,عباسعلی سلیمانی اسبوکلائی، در ۲۵ مه ۱۹۴۷ در اسبوکلا، استان گیلان به دنیا آمد و در ۲ ژوئن ۱۴۰۲ در بابلسر، مازندران کشته شد. او به‌عنوان روحانی، فقیه، نماینده مجلس خبرگان رهبری و نماینده ولی فقیه فعالیت می‌کرد. او در تیراندازی در بانک کشته شد.
اسماعیل سیمیتقو,اسماعیل سیمیتقو که با نام‌های اسماعیل شکاک و سمکو شکاک نیز شناخته می‌شود، در ۱۸۸۷-۰۱-۰۱ در چهریق، آذربایجان شرقی متولد شد و در ۱۹۳۰-۰۵-۰۴ در اشنویه، آذربایجان غربی درگذشت. او به عنوان رهبر فعالیت می‌کرد. سیمیتقو، رهبران کرد را به جنگ کشاند، در کشتار آشورایان خوی دست داشت، تحریک کننده قتل هزار نفر از آشورایان در سالماس بود و به عنوان یک عامل در کشتار اورمیه (کردلوخ) در نظر گرفته می‌شود.
شاه اسماعیل دوم,شاه اسماعیل دوم، در سال ۱۵۳۳ در قم به دنیا آمد و در تاریخ ۴ مه ۱۵۷۷ در قزوین درگذشت. او شاه بود و دوران حکومت او به ایران صفوی تعلق داشت. از وقایع مهم زندگی او می‌توان به حاکمیت هرات و حبس در قلعه قهقهه اشاره کرد.
شهریار شفیق,شهریار شفیق، در تاریخ ۱۵ مارس ۱۹۴۵ در قاهره، استان قاهره به دنیا آمد و در تاریخ ۴ مه ۱۳۵۸ در پاریس، استان Île-de-France درگذشت. او افسر ارشد نیروی دریایی بود و به عنوان بخشی از ارتش شاهنشاهی ایران شناخته می‌شود. از وقایع مهم زندگی او می‌توان به ترور اشاره کرد.
مرتضی‌قلی‌خان صنیع‌الدوله,مرتضی‌قلی‌خان صنیع‌الدوله، معروف به صنیع‌الدوله، در دوره قاجاریه، در تاریخ ۷ فوریه ۱۸۵۶ در تهران متولد شد و در تاریخ ۲ ژوئن ۱۹۱۱ در تهران درگذشت. او به‌عنوان صنعتگر و رئیس مجلس شورای ملی فعالیت می‌کرد.
بهمن جوادی,بهمن جوادی، با نام مستعار غلام کشاورز، در اول ژانویه ۱۹۵۵ در نارک (گچساران) واقع در استان کهگیلویه و بویراحمد به دنیا آمد. او در سال ۱۹۸۹ در لارناکا، قبرس درگذشت. جوادی به‌عنوان فعال سیاسی، انقلابی و کمونیست فعالیت می‌کرد.
داریوش فروهر,داریوش فروهر، سیاستمدار، وزیر کار و امور اجتماعی، دبیرکل حزب ملت ایران، بنیان‌گذار حزب ملت ایران و رهبر جبههٔ ملی ایران، در ۱۸ اوت ۱۹۲۸ در اصفهان به دنیا آمد و در ۲۱ نوامبر ۱۹۹۸ در تهران درگذشت. او در بهشت زهرا به خاک سپرده شده است. از رویدادهای مهم زندگی او می‌توان به وزارت کار و امور اجتماعی از بهمن ۱۳۵۷ تا مهر ۱۳۵۸، دبیری کل و بنیان‌گذاری حزب ملت ایران، رهبری جبههٔ ملی ایران از ۱۳۵۶ تا اوایل ۱۳۵۸ و پیشگامی در پان‌ایرانیسم اشاره کرد.
عبدالرحمان قاسملو,عبدالرحمان قاسملو، در ۲۲ دسامبر ۱۹۳۰ در ارومیه، آذربایجان غربی به دنیا آمد و در ۱۳ ژوئیه ۱۹۸۹ در وین، اتریش ترور شد. او به‌عنوان فعال سیاسی، دبیرکل حزب دموکرات کردستان ایران و نمایندهٔ مردم استان آذربایجان غربی در مجلس خبرگان قانون اساسی فعالیت می‌کرد.
یارمحمدخان کرمانشاهی,یارمحمدخان کرمانشاهی، که در سال ۱۸۷۹ در کرمانشاه به دنیا آمد و در سال ۱۹۱۲ در کرمانشاه درگذشت، یک فعال مشروطه بود. او در دوران مشروطه فعالیت می‌کرد. از وقایع مهم زندگی او می‌توان به محاصره تبریز و نبردهای ۱۲۸۷ تا ۱۲۸۹ خورشیدی اشاره نمود.
سید اسدالله لاجوردی,سید اسدالله لاجوردی، در سال ۱۳۷۷ در تهران درگذشت و آرامگاه او در بهشت زهرا قرار دارد. او در دههٔ شصت زندگی می‌کرد و به عنوان رئیس پیشین زندان اوین، دادستان انقلاب تهران و رئیس سازمان زندان‌ها و اقدامات تأمینی و تربیتی فعالیت می‌کرد. لاجوردی توسط سازمان مجاهدین خلق ایران ترور شد.
محمدحسن‌خان قاجار,محمدحسن‌خان قاجار، در سال ۱۷۲۲ در گرگان، گلستان به دنیا آمد و در سال ۱۷۵۹ درگذشت. او سرکردگی ایل قاجار را بر عهده داشت و به عنوان رویدادی شاخص، با فرمان شاه تهماسب دوم به سرکردگی شاخه اشاقی‌باش ایل قاجار رسید. آرامگاه او در گرگان قرار دارد. او در دوران قاجاریان می‌زیست.
شاپور مرحبا,شاپور مرحبا، در سال ۱۹۵۷ در آستارا، گیلان به دنیا آمد. او سیاستمدار و نماینده مجلس بود. در اوایل انقلاب اسلامی، رویدادهایی مانند ترور برادرش، یوسف مرحبا، در یکم شهریور سال ۱۳۶۰ و حمله تروریستی به خود او دو هفته پس از آن رخ داد.
محمد علی منتظری,محمد علی منتظری، که در انقلاب اسلامی فعالیت داشت، در سال ۱۳۴۳ خورشیدی در نجف‌آباد اصفهان به دنیا آمد و در ۲۸ شهریور ۱۳۶۰ در تهران درگذشت. او به‌عنوان روحانی، زندانی سیاسی، سیاست‌مدار و نماینده مجلس فعالیت می‌کرد. او در مبارزه با حکومت پهلوی و حادثه بمب‌گذاری در دفتر حزب جمهوری اسلامی نقش داشت.
حسنعلی منصور,حسنعلی منصور، سیاستمدار، نخست‌وزیر، کارمند وزارت امور خارجه، دیپلمات، ریاست شورای عالی اقتصاد، معاونت نخست‌وزیری، وزیر کار و دبیر کلی حزب ایران نوین، در ۱۳ فروردین ۱۳۰۲ در تهران به دنیا آمد و در ۴ مرداد ۱۳۴۳ در تهران درگذشت. او در دوران پهلوی فعالیت داشت و در جریان ترور توسط محمد بخارایی جان باخت.
میر اسدالله مدنی دهخوارقانی,میر اسدالله مدنی دهخوارقانی، معروف به دومین شهید محراب انقلاب اسلامی، در سال ۱۹۱۴ در آذرشهر، آذربایجان شرقی به دنیا آمد و در ۱۱ سپتامبر ۱۹۸۱ در تبریز، آذربایجان شرقی ترور شد. او روحانی، مجتهد شیعه، نماینده مجلس خبرگان و امام جمعه بود. در دوران جمهوری اسلامی ایران، او در حین نماز جمعه در ۲۰ شهریور ۱۳۶۰ توسط مجاهدین خلق ترور شد.
ناصرالدین‌شاه قاجار,ناصرالدین‌شاه قاجار، ملقب به صاحبقران، در ۱۶ ژوئیه ۱۸۳۱ در تبریز، آذربایجان شرقی متولد شد و در ۴ مه ۱۸۹۶ در تهران درگذشت. او در دوره قاجار به عنوان شاه فعالیت می‌کرد. مقبره او در حرم عبد العظیم حسنی واقع شده است.
ابوعلی حسن بن علی طوسی,"ابوعلی حسن بن علی طوسی، معروف به نظام‌الملک، در سال ۱۰۱۸ در توس واقع در خراسان جنوبی متولد شد و در سال ۱۰۹۲ در صحنه، ایلام درگذشت. او در دوران امپراتوری سلجوقی می‌زیست و به‌عنوان وزیر فعالیت می‌کرد. از آثار او می‌توان به ""سیاست‌نامه"" اشاره کرد. نظام‌الملک همچنین وزیر آلپ ارسلان و ملکشاه یکم بود و پس از ترور آلپ ارسلان در سال ۱۰۷۲، حاکم دفاکتوی امپراتوری سلجوقی محسوب می‌شد."
کاظم رجوی,کاظم رجوی، عضو شورای ملی مقاومت ایران، در ۲ اوت ۱۹۳۴ در طبس، خراسان رضوی به دنیا آمد و در ۲۴ آوریل ۱۹۹۰ در سوئیس ترور شد.
عبدالحسین هژیر,عبدالحسین هژیر، سیاست‌مدار و نخست‌وزیر، در سال ۱۸۹۹ در تهران متولد شد و در ۱۱ مه ۱۹۴۹ در تهران درگذشت. او در دوران رضاشاه فعالیت داشت و از وقایع مهم زندگی او نخست‌وزیری از خرداد ۱۳۲۷ تا آبان ۱۳۲۷ بود.
سعید امامی,سعید امامی که با نام سعید اسلامی نیز شناخته می‌شود، در ۱۴ ژانویه ۱۹۵۸ در شیراز، استان فارس به دنیا آمد و در ۱۹ ژوئن ۱۹۹۹ در زندان تهران درگذشت. او در دهه ۱۹۹۰ به‌عنوان مامور اطلاعات و معاون وزیر فعالیت می‌کرد. از اقدامات او می‌توان به قتل‌های سریالی ایرانی اشاره کرد.
محمدولی خان خلعتبری,محمدولی خان خلعتبری، که با نام‌های محمدولی‌خان تُنِکابُنی، سپهدار اعظم و سپهسالار اعظم نیز شناخته می‌شد، در دوره قاجاریان، در تاریخ ۴ ژانویه ۱۸۴۷ در تنکابن، مازندران به دنیا آمد و در ۱ ژانویه ۱۹۲۶ در تهران درگذشت. او سیاستمدار و رهبر نظامی بود و در انقلاب مشروطه نقش داشت.
ناصر یگانه,ناصر یگانه، حقوقدان، سیاستمدار، دولتمرد، رئیس دیوان عالی کشور، نماینده مجلس شورای ملی، نماینده سنا، وزیر مشاور و معاون پارلمانی نخست‌وزیر، در ۶ آوریل ۱۹۲۱ در قزوین متولد شد و در ۱۵ نوامبر ۱۹۹۳ در واشینگتن دی. سی. درگذشت. او همچنین عضویت در فراماسون ایران را داشت.
غلامعلی جعفرزاده ایمن‌آبادی,غلامعلی جعفرزاده ایمن‌آبادی، سیاستمدار، نماینده مجلس و رئیس بنیاد شهید و امور ایثارگران، در سال ۱۹۶۶ در رشت، گیلان به دنیا آمد. در دوران جمهوری اسلامی ایران، او در جنگ ایران و عراق جانباز شد و همچنین به عنوان نماینده رشت در مجلس شورای اسلامی در دوره‌های نهم و دهم فعالیت کرد. او همچنین در انتخابات مجلس یازدهم رد صلاحیت شد.
سعید جلیلی,سعید جلیلی، در ۹ ژوئن ۱۹۶۵ در مشهد، رضوی خراسان متولد شد. او سیاستمدار و دیپلمات است.
سعید حجاریان کاشانی,"سعید حجاریان کاشانی، که با نام مستعار ""تئوریسین جریان اصلاحات"" نیز شناخته می‌شود، در سال ۱۹۵۴ در تهران به دنیا آمد. او به عنوان فعال امنیتی سابق، فعال سیاسی کنونی و تئوریسین فعالیت می‌کرد. در سوابق وی، سوءقصد در سال ۱۳۷۸ در مقابل شورای شهر تهران و سوءقصد توسط مجاهدین خلق در سال ۱۳۶۰ به چشم می‌خورد."
سید علی خامنه‌ای,سید علی خامنه‌ای، با نام مستعار سید علی خامنه‌ای، در ۱۹ آوریل ۱۹۳۹ در مشهد، استان رضوی خراسان به دنیا آمد. او روحانی، سیاستمدار، رهبر جمهوری اسلامی ایران، رئیس‌جمهور ایران، امام جمعهٔ تهران و مرجع تقلید شیعه دوازده‌امامی است. دوران فعالیت او به جمهوری اسلامی ایران بازمی‌گردد.
سید علی‌اکبر محتشمی‌پور,سید علی‌اکبر محتشمی‌پور، روحانی و سیاستمدار، در سال ۱۹۴۷ در تهران متولد شد و در سال ۲۰۲۱ در تهران درگذشت. او در جمهوری اسلامی ایران به عنوان وزیر کشور و نماینده مجلس فعالیت می‌کرد. او بنیان‌گذار حزب‌الله لبنان بود و دبیرکل کنفرانس بین‌المللی پشتیبانی از فلسطین بود. او همچنین وزیر کشور کابینه دوم میرحسین موسوی (۱۳۶۸–۱۳۶۴) و نماینده دوره‌های سوم و ششم مجلس شورای اسلامی بود.
