,name,final_paragraph,images_clean
10,مریلا زارعی,"مریلا زارعی، بازیگر ایرانی، در سال ۱۳۵۳ در تهران متولد شد. او از سال ۱۳۷۰ تاکنون در زمینه بازیگری فعالیت داشته است و در این مدت توانسته است به عنوان یکی از بازیگران برجسته سینما شناخته شود. از جمله آثار او می‌توان به «ماهی سیاه کوچولو»، «شیار ۱۴۳»، «جدایی نادر از سیمین» و «دستهای خالی» اشاره کرد. مریلا زارعی با بازی در نقش‌های متنوع و متفاوت، توجه مخاطبان را به خود جلب کرده و به عنوان یک بازیگر توانمند و با تجربه شناخته می‌شود.
این تصویر زنی را نشان می‌دهد که روسری مشکی به سر دارد. چهره او با آرایش ملایمی همراه است. ابروهای او به شکل مرتب و قوس‌دار هستند و چشمانش با مژه‌های بلند و خط چشم مشخص شده‌اند. لب‌های او با رژ لب صورتی رنگ‌آمیزی شده‌اند. پوست او صاف و روشن است و حالت چهره‌اش جدی و متفکر به نظر می‌رسد. پس‌زمینه تصویر رنگ‌های آبی و نارنجی دارد.",images_clean\Merila_Zarei_2019.png
11,بهروز شعیبی,"بهروز شعیبی، بازیگر و کارگردان ایرانی، در تاریخ ۲۵ خرداد ۱۳۵۸ در مشهد متولد شد. او از دهه ۷۰ فعالیت هنری خود را آغاز کرده و تاکنون در فیلم‌های «آغوش باز»، «گلشیفته»، «دارکوب» و «ستاره روی زمین» نقش داشته است. شعیبی در کنار فعالیت هنری، به عنوان کارگردان نیز شناخته شده و فیلم‌هایی مانند «گفتگو با سایه‌ها» و «قصه‌های یک زندگی - گرداب» را کارگردانی کرده است. او همچنین در سریال‌های «پرونده‌های مجهول» و «گم‌گشته» ایفای نقش کرده است. شعیبی در طول فعالیت هنری خود، به عنوان یکی از بازیگران و کارگردان‌های مطرح ایران شناخته شده است.
این فرد دارای موهای تیره و کوتاه است. او عینکی با فریم تیره به چشم دارد. ریش و سبیل پرپشتی دارد که به رنگ تیره است. چهره‌اش حالتی آرام و متفکرانه دارد و به سمتی نگاه می‌کند. پیراهن چهارخانه با رنگ‌های قرمز و آبی به تن دارد. پوست صورتش روشن است و در یک محیط داخلی به نظر می‌رسد.",images_clean\Behrouz_Shoeibi%2C_The_Corridor_film_show_%2813920527234002931%29.png
12,سید افشین هاشمی مرغزار,"سید افشین هاشمی مرغزار، بازیگر، کارگردان، فیلمنامه‌نویس و نمایش‌نامه‌نویس ایرانی است که در سال 1354 در تهران متولد شده است. او از سال 1383 تاکنون در این رشته فعالیت داشته است. از جمله آثار او می‌توان به «نوروز»، «خداحافظ دختر شیرازی» و «پاسخ به آتیلا» اشاره کرد. هاشمی مرغزار همچنین به عنوان نوازنده فعالیت کرده است.
این تصویر مردی را نشان می‌دهد که موهای تیره و نسبتاً پرپشتی دارد. او به سمت چپ نگاه می‌کند و چهره‌اش نیم‌رخ دیده می‌شود. پوست صورت او روشن است و ریش و سبیل ندارد. ابروهایش تیره و نسبتاً پرپشت هستند. لباس او به رنگ سبز روشن است و در پس‌زمینه، دیوار چوبی و بخشی از یک گاوصندوق دیده می‌شود. حالت چهره‌اش آرام و متفکر به نظر می‌رسد.",images_clean\250px-Afshine_Hashemi_dar_Gavsandogh.png
13,هومن سیدی,"هومن سیدی، بازیگر، کارگردان، فیلم‌نامه‌نویس و تدوین‌گر ایرانی، در سال 1359 در رشت متولد شد. او از دهه هشتاد تاکنون در این رشته فعالیت داشته است. از جمله آثار او می‌توان به «یک تکه نان»، «پابرهنه در بهشت» و «چهارشنبه سوری» اشاره کرد. همچنین او در فیلم‌های «آزادراه»، «خط ویژه» و «مادری» نیز نقش داشته است. هومن سیدی در فیلم‌های دیگری مانند «جنگ جهانی سوم»، «در چشم باد» و «قصّه تو» نیز حضور داشته است. او در سال‌های اخیر به فعالیت‌های هنری خود ادامه داده است.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او ریش و سبیل دارد که به خوبی مرتب شده‌اند. پوست صورت او روشن است و چشمانش به سمت دوربین نگاه می‌کنند. او لباسی روشن به تن دارد و در حال صحبت کردن به نظر می‌رسد، زیرا میکروفونی در مقابل او قرار دارد. حالت چهره‌اش جدی و متمرکز است.",images_clean\250px-Hooman_seyedi_khashm_hayahoo.png
14,جمشید اسماعیل‌خانی,"جمشید اسماعیل‌خانی یک بازیگر ایرانی است که در سال 1329 در داراب متولد شد و در سال 1381 درگذشت. او از دهه 1360 در زمینه بازیگری تئاتر، سینما و تلویزیون فعالیت داشته است. از جمله آثار او می‌توان به «رأی باز»، «نان»، «عشق و موتور 1000»، «نوروز»، «آواز قو»، «مونس»، «مرد بارانی»، «شیدا»، «مهر مادری»، «هفت سنگ» و «سرعت» اشاره کرد. اسماعیل‌خانی در طول عمر هنری خود در بسیاری از نقش‌های مختلف ظاهر شده است.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید، خوشحال می‌شوم کمک کنم.",images_clean\250px-Jamshid_Esmailkhani_Grave.png
15,هما روستا,"هما روستا یک زن ایرانی است که در سال 1323 در تهران متولد شد و در سال 1394 درگذشت. وی در زمینهٔ بازیگری، کارگردانی و ترجمه فعالیت داشته و از سال 1350 تا 1392 در این زمینه‌ها مشغول به کار بوده است. از جمله آثار او می‌توان به «دیوار شیشه‌ای»، «گزارش یک قتل» و «پرنده کوچک خوشبختی» اشاره کرد. هما روستا در طول فعالیت خود در بیش از 20 فیلم سینمایی نقش داشته است.
این تصویر زنی را نشان می‌دهد که عینک به چشم دارد و لبخند می‌زند. او روسری قهوه‌ای به سر دارد و موهایش زیر روسری قرار گرفته است. پوست صورتش روشن است و لب‌هایش به رنگ طبیعی دیده می‌شود. او یک گل رز قرمز در دست دارد و به دوربین نگاه می‌کند. چهره‌اش حالتی دوستانه و گرم دارد.",images_clean\Homa_Rousta_32th_Fajr.png
16,محمّدعلی سپانلو,"محمّدعلی سپانلو (زاده ۲۹ آبان ۱۳۱۹ – درگذشته ۲۱ بهمن ۱۳۹۴) شاعر، نویسنده، مترجم، منتقد ادبی و استاد دانشگاه بود که از سال ۱۳۴۲ تا ۱۳۹۴ فعالیت داشت. او به عنوان یکی از پیشروان شعر نو در ایران شناخته می‌شود و آثار مهمی از جمله «آه… بیابان»، «ساعت امید» و «قصّه قدیم» را به یادگار گذاشته است. همچنین کتاب‌های «سفینه شعر نو قرن بیستم ایران» و «بهترین رودکی» را منتشر کرده و عضو کانون نویسندگان ایران نیز بود. سپانلو در زمینه‌های مختلف ادبی از جمله نقد ادبی، ترجمه و تألیف فعالیت داشته است.
این تصویر مردی مسن را نشان می‌دهد. او موهای خاکستری و کم‌پشتی دارد که به سمت عقب شانه شده‌اند. صورت او دارای چین و چروک‌هایی است که نشان‌دهنده تجربه و سن بالای اوست. ابروهای او پرپشت و چشمانش با نگاهی آرام و متفکرانه به سمت بالا نگاه می‌کنند. بینی او نسبتاً بزرگ و لب‌هایش باریک هستند. او سبیلی نازک دارد و لبخندی ملایم بر چهره‌اش دیده می‌شود. پوست او روشن است و لباس رسمی به تن دارد.",images_clean\250px-Mohammad-Ali_Sepanlou_20131119_02.png
17,شورانگیز طباطبایی,"شورانگیز طباطبایی یک زن ایرانی است که در سال 1332 در لاهیجان متولد شده است. او در زمینه بازیگری فعالیت کرده و از دهه 1350 تاکنون در بسیاری از فیلم‌ها حضور داشته است. از جمله آثار او می‌توان به «خاکستر عشق»، «به دادم برس رفیق» و «نان و نمک» اشاره کرد.
این تصویر زنی را نشان می‌دهد که موهای بلند و موج‌دار دارد و رنگ موهایش قهوه‌ای روشن است. او لبخند ملایمی بر لب دارد و چشمانش درشت و گیراست. آرایش ملایمی دارد که بر زیبایی چهره‌اش افزوده است. او لباسی سفید با یقه باز پوشیده و یک گردنبند بلند به گردن دارد. در کنار او، یک گل به لباسش سنجاق شده است. حالت چهره‌اش آرام و دوستانه به نظر می‌رسد.",images_clean\Sh-t.png
18,احترام برومند,"احترام برومند یک زن ایرانی است که در سال 1326/1/20 در تهران متولد شده است. وی در زمینه‌های مجری و بازیگر فعالیت داشته و از دههٔ ۱۳۴۰ تاکنون در این زمینه‌ها مشغول به کار است. از جمله آثار او می‌توان به فیلم‌های «آغوش باز»، «بعد از رفتن» و «عروسی مردم» اشاره کرد.
این تصویر زنی را نشان می‌دهد که روسری مشکی با خال‌های سفید به سر دارد. موهای او خاکستری و به عقب شانه شده است. چهره‌اش آرام و متین به نظر می‌رسد. او لب‌های قرمز رنگی دارد و پوستش روشن است. نگاه او به سمت چپ تصویر است و حالتی متفکرانه دارد. لباس او نیز به رنگ مشکی است.",images_clean\Ehteram_Boroumand.png
19,محمدپیمان معادی,"محمد پیمان معادی، بازیگر، فیلم‌نامه‌نویس و کارگردان ایرانی، در 9 آوریل 1349 در نیویورک سیتی متولد شد. او از دهه 1380 در این زمینه فعالیت کرده است. از جمله آثار او می‌توان به «آواز قو»، «جدایی نادر از سیمین» و «برف روی کاج‌ها» اشاره کرد. او در فیلم‌های «عطش»، «کما»، «کافه ستاره»، «ماتیک»، «درباره الی»، «سوگ»، «کامپ ایکس ری»، «ملبورن»، «قصه‌ها»، «آخرین شوالیه‌ها»، «13 ساعت: سربازان مخفی بنغازی»، «ابد و یک روز»، «اسب‌های پنجره‌ای: مکاشفهٔ رزی مینگ در اشعار فارسی»، «خوک»، «بمب؛ یک عاشقانه» و دیگر آثارش به شهرت رسیده است.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او ریش و سبیل دارد که به صورت مرتب و کوتاه نگه داشته شده‌اند. لبخندی بر لب دارد که چهره‌اش را دوستانه و گرم نشان می‌دهد. پوست او به رنگ روشن است و چشمانش به سمت دوربین نگاه می‌کنند. او لباسی غیررسمی به تن دارد که شامل یک پیراهن تیره و ژاکت روشن است. زمینه تصویر آبی است.",images_clean\250px-Payman_Maadi_and_Mahnaz_Afshar_20190201_04_%28cropped%29.png
20,محمد فیلی,"محمد فیلی در سال 1329 در شیراز متولد شد. او از سال 1365 تاکنون در زمینه بازیگری فعالیت داشته است. از جمله آثار او می‌توان به «استعداد من»، «سفر صفرعلی» و «راز خانه بهجت» اشاره کرد. وی در فیلم‌های «مالیخولیا»، «رنگ انتظار» و «بانوی سردار» نیز ایفای نقش کرده است. فیلی در سریال‌های «پشت کوه‌های بلند»، «چاردیواری» و «مختارنامه» نیز حضور داشته است. او همچنین در فیلم «هشت و نیم دقیقه» و سریال «دولت مخفی» ایفای نقش کرده است. فیلی در فیلم «جلال الدین» و سریال «روزی بود، روزی نبود» نیز بازی کرده است. او در فیلم «شب هزارویکم» و سریال «پرونده‌های مجهول» نیز حضور داشته است.
در تصویر، فردی با موهای سفید و ریش خاکستری دیده می‌شود. او عینک به چشم دارد و پیراهنی به رنگ روشن پوشیده است. حالت چهره‌اش نشان‌دهنده‌ی تمرکز و شاید در حال صحبت کردن است. دست راستش را بالا برده و به نظر می‌رسد در حال بیان نکته‌ای است. پس‌زمینه شامل پرچم‌ها و نوشته‌هایی است.",images_clean\Tasnimmohamafm.png
21,ملیکا زارعی برزی,"ملیکا زارعی برزی یک زن ایرانی است که در سال 1364 در تهران متولد شده است. وی در زمینه بازیگری و مجری‌گری برنامه‌های کودک و نوجوان فعالیت دارد و از دهه ۱۳۸۰ در این زمینه مشغول به کار بوده است. از جمله آثار برجسته او می‌توان به سریال‌های «تله»، «متهم گریخت» و «مهر خاموش» اشاره کرد.
در این تصویر، فردی با لبخند ملایم دیده می‌شود. او روسری مشکی با طرحی سفید بر سر دارد که موهایش را پوشانده است. پوست صورتش روشن است و آرایش ملایمی دارد. چشم‌هایش به سمت چپ نگاه می‌کنند و لب‌هایش با رژ لب رنگی برجسته شده‌اند. لباس او نیز به رنگ مشکی و سفید است. پس‌زمینه تصویر پرچم ایران دیده می‌شود.",images_clean\250px-Shadoone_%282%29.png
22,آرام جعفری,"آرام جعفری، بازیگر ایرانی، در سال 1359/11/22 در تهران متولد شد. او از دهه ۱۳۷۰ تاکنون در زمینه بازیگری فعالیت داشته است. از جمله افتخارات او می‌توان به آثارش اشاره کرد که شامل «شاید یک معجزه»، «پلکان مرگ»، «دزدان خیابان جردن»، «مسافر باران»، «زیر آسمان شهر»، «گلریزان»، «آدمخوار»، «معمای شاه» و «میلیاردر» می‌باشد.
این تصویر یک زن را نشان می‌دهد که لبخند بر لب دارد. او کلاه پشمی قهوه‌ای رنگی بر سر دارد که موهایش را پوشانده است. چهره او با آرایش ملایمی همراه است؛ ابروهایش به خوبی شکل داده شده‌اند و چشمانش با خط چشم و سایه ملایمی برجسته شده‌اند. لب‌های او با رژ لب صورتی رنگی آرایش شده‌اند. او گوشواره‌های طلایی کوچکی به گوش دارد و لباسی با یقه خزدار به تن کرده است. پوست او صاف و روشن به نظر می‌رسد.",images_clean\Aram_Jafari_%28cropped%29.png
23,پژمان بازغی کیسمی,"پژمان بازغی کیسمی یک مرد ایرانی است که در سال ۱۳۵۳ در تهران متولد شد. او در زمینهٔ بازیگری و مجری‌گری فعالیت می‌کند و از سال ۱۳۷۲ تاکنون در این زمینه مشغول به کار است. از جمله آثار او می‌توان به «بهشت تبهکاران»، «تابستان همان سال» و «پرونده باز است» اشاره کرد. او در بسیاری از سریال‌ها و فیلم‌های ایرانی بازی کرده و در کنار بازیگری، مجری برنامه‌های تلویزیونی نیز بوده‌است.
این تصویر مردی را نشان می‌دهد که موهای قهوه‌ای تیره و کوتاه دارد. او چشمان روشن و نافذی دارد و نگاهش به سمت بالا متمرکز است. پوست صورتش روشن است و گونه‌هایش کمی برجسته به نظر می‌رسند. او دستش را زیر چانه‌اش قرار داده و حالتی متفکرانه دارد. پس‌زمینه تصویر رنگ‌های گرم و متنوعی دارد.",images_clean\Pejman_Bazeghi_2019.png
24,حامد کمیلی,"حامد کمیلی در سال ۱۳۶۱ در اصفهان متولد شد و از سال ۱۳۸۳ تاکنون در زمینه بازیگری فعالیت داشته است. وی در این مدت در فیلم‌های «آغوش باز»، «سیانور»، «پسر آدم»، «بلیط یک طرفه»، «مرداب»، «رقص روی شیشه»، «پروانه»، «ریچارد»، «شوایک» و «سرباز ساده دل» به ایفای نقش پرداخته است. همچنین در سریال‌های «جمشیدیه»، «دو خواهر»، «پای پیاده» و «دکتر نون زنش را بیشتر از مصدق دوست دارد» حضور داشته است.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او کت و شلوار چهارخانه به رنگ خاکستری پوشیده و پیراهنی آبی زیر آن دارد. در جیب کت او دستمالی قرمز قرار دارد. چهره او جدی به نظر می‌رسد و به سمت چپ نگاه می‌کند. پوست او روشن است و ابروهای پرپشتی دارد. نورپردازی تصویر به گونه‌ای است که چهره او به خوبی روشن شده است.",images_clean\Hamed_Komeili_2019.png
25,دانیال عبادی,"دانیال عبادی یک بازیگر ایرانی است که در سال 1361 در تهران متولد شده است. او از دهه 1380 در زمینه بازیگری سینما و تلویزیون فعالیت کرده است. برخی از آثار شاخص او شامل فیلم‌های «غیرمنتظره»، «کریستال» و «معراجی‌ها» و سریال‌های «یکی از ما دو نفر» و «خانه امن» می‌باشد.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او ریش و سبیل کوتاهی دارد و دستش را زیر چانه‌اش قرار داده است. چهره‌اش جدی به نظر می‌رسد و پیراهنی با رنگ روشن به تن دارد. پس‌زمینه تصویر شامل دیوارهایی با رنگ‌های گرم است.",images_clean\Danial_Ebadi_2.png
26,پرستو صالحی,"پرستو صالحی، یک زن ایرانی، در سال 1356 در تهران متولد شد. او در زمینه بازیگری و آموزش گریم فعالیت دارد و از سال 1378 تاکنون در این زمینه مشغول به کار است. از جمله آثار او می‌توان به «چشمهایش»، «تو را دوست دارم» و «مسلخ» اشاره کرد. صالحی در فیلم‌های «قیافتی با بارانی مشکی» و «شب چراغ» نیز بازی کرده است. او همچنین در سریال‌های «روژان» و «شوخی کردم» حضور داشته است. صالحی در سال 1380 ازدواج کرد و دو فرزند دارد. او در حال حاضر در تهران زندگی می‌کند. صالحی در سال 1390 به دلیل بیماری قلبی به بیمارستان منتقل شد و پس از آن به خانه خود بازگشت. او در سال 1395 به دلیل مشکلات سلامتی مجدداً به بیمارستان منتقل شد.
در تصویر، فردی با موهای تیره و چشمان قهوه‌ای دیده می‌شود. ابروهای او پرپشت و به خوبی مرتب شده‌اند. او یک شال و کاپشن مشکی به تن دارد و حالتی جدی و متفکرانه دارد. پوست صورت او روشن است و لب‌های او به رنگ طبیعی دیده می‌شوند. نگاه او به سمت چپ تصویر است و دست‌هایش را روی هم قرار داده است.",images_clean\Parastoo_Salehi_%282015%29.png
27,شهرام حقیقت‌دوست,"شهرام حقیقت‌دوست یک بازیگر ایرانی است که در سال ۱۳۵۱ در رشت متولد شده است. وی در زمینه بازیگری فعالیت می‌کند و از جمله آثار او می‌توان به «باغ کیانوش»، «قاتل و وحشی»، «مختارنامه» و «کلنل» اشاره کرد. همچنین، وی در تئاتر نیز فعالیت داشته و از جمله آثار او می‌توان به «دن کامیلو»، «تکیه ملت»، «روزی روزگاری آبادان» و «داستان خرس‌های پاندا» اشاره کرد. شهرام حقیقت‌دوست در سال ۱۴۰۲ در تهران درگذشت.
متأسفم، نمی‌توانم بگویم این شخص چه کسی است. اما می‌توانم توصیف کنم که او یک کت خاکستری پوشیده و موهای تیره دارد. صورت او دارای ریش است و در یک محیط داخلی ایستاده است. نورپردازی تصویر به گونه‌ای است که جزئیات چهره او به خوبی دیده می‌شود.",images_clean\Shahram_Haghighat_Doost_46288_21-11.png
28,مه‌لقا باقری,"مه‌لقا باقری، بازیگر و کارگردان تئاتر ایرانی، در سال 1360 در تهران متولد شد. او از سال 1380 تاکنون در این زمینه فعالیت کرده است. از جمله آثار او می‌توان به «آینه بغل»، «پیاده» و «شنای پروانه» اشاره کرد. او در فیلم‌های «بزرگراه»، «شهربانو» و «حوض فیروز» نیز بازی کرده است. مه‌لقا باقری در کنار فعالیت هنری خود، به فرزندزایی نیز پرداخته است.
این تصویر زنی را نشان می‌دهد که موهای تیره دارد و آنها را با روسری پوشانده است. او چشمان بسته‌ای دارد و دست‌هایش را به دو طرف سرش قرار داده است. پوست صورتش روشن است و آرایش ملایمی دارد. پس‌زمینه تصویر شامل رنگ‌های آبی و کرم است.",images_clean\220px-Butterfly_Swimming_movie_press_conference_2020-02-02_03.png
