,id,bio,image_paths,image_paths_list,image_paths_abs
357,حمیرا حسنی ریاضی,حمیرا حسنی ریاضی، زادهٔ ۲۸ فروردین ۱۳۴۶ در تهران، بازیگر است. او در دهه‌های ۱۳۷۰ تا کنون فعالیت داشته است. از آثار وی می‌توان به فیلم‌های سینمایی «شرفناز»، «شیرین»، «نغمه»، «رنگ شب»، «زیر پوست شهر»، «مثلث آبی»، «هفت سنگ» و «ساز ستاره» و همچنین مجموعه‌های تلویزیونی «جلال ۲»، «جلال»، «بوی باران»، «وضعیت سفید»، «کلانتر ۳»، «حلقه سبز»، «بچه‌های هور»، «طلسم‌شدگان»، «باران عشق»، «نوعروس»، «دختران»، «کاشانه»، «عید آن سال‌ها»، «روزگار جوانی»، «گل من گلی»، «هفت‌سنگ»، «آژانس دوستی»، «پهلوانان نمی‌میرند»، «بازی با مرگ» و «مزد ترس» اشاره کرد. وی همچنین در نمایش‌های تئاتر «اسفندیار»، «مهرگیاه»، «لیرشاه»، «ایلیات»، «چند و چون به چاه رفتن چوپان»، «بهرام چوبینه» و «هانچو» نیز حضور داشته است.زنی با صورت بیضی شکل، بینی متوسط، چشمان قهوه‌ای، ابروهای مشخص و پرپشت، موهای مشکی و پوست روشن. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['images_clean\\%28homeyra_riazi%29750854_02.png', 'images_clean_v2\\%28homeyra_riazi%29750854_02.jpg']","['images_clean\\%28homeyra_riazi%29750854_02.png', 'images_clean_v2\\%28homeyra_riazi%29750854_02.jpg']","['/content/drive/MyDrive/images_clean/images_clean/%28homeyra_riazi%29750854_02.png', '/content/drive/MyDrive/images_clean_v2/%28homeyra_riazi%29750854_02.jpg']"
358,مریم شیرازی,"مریم شیرازی، بازیگر و کارگردان، در ۳ مرداد ۱۳۵۶ در تهران متولد شد. از آثار او می‌توان به فیلم‌های «ننه لالا و فرزندانش» (۱۳۷۵)، «من همسرش هستم» (۱۳۹۰)، «دلم می‌خواد» (۱۳۹۲)، «بهمن» (۱۳۹۳)، «یحیی سکوت نکرد» (۱۳۹۳)، «بنفشه آفریقایی» (۱۳۹۶)، مجموعه‌های تلویزیونی «سیب خنده» (۱۳۷۶)، «بدون شرح» (۱۳۸۱)، «سرزمین مادری» (۱۳۸۷)، «مسافران» (۱۳۸۸)، «نوار زرد» (۱۳۹۶)، «صفر بیست و یک» (۱۳۹۹)، «برف بی صدا می‌بارد» (۱۴۰۰)، نمایش‌های خانگی «سرگیجه» (۱۴۰۱) و «مردم معمولی» (۱۴۰۰)، تله فیلم‌های «راوی کوچک» (۱۳۸۱) و «امیدها و نجواها» (۱۳۸۹)، تله تئاتر «دوزن» (۱۳۹۰)، و تئاترهای «یه خونه یه چلچله» (۱۳۷۶)، «برخوان هفت خوان» (۱۳۷۸)، «باغ آلبالو» (۱۳۸۱)، «دکتر کنوک» (۱۳۸۱)، «نمایشنامه خوانی \» در خانه‌ام ایستاده بودم\"" «(۱۳۸۳)،» پیکر زن همچون میدان نبرد «(۱۳۸۵)،» گفتگوهای پس از یک خاکسپاری «(۱۳۸۷) و» نامه‌هایی به تب"" (۱۳۹۹) اشاره کرد.","['images_clean\\250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.png', 'images_clean_v2\\250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.jpg']","['images_clean\\250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.png', 'images_clean_v2\\250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.png', '/content/drive/MyDrive/images_clean_v2/250px-Maryam_Shirazi%2C_Alireza_Shoja_Nouri.jpg']"
359,آهو خردمند,آهو خردمند، بازیگر و مترجم، در سال ۱۳۲۹ در تهران به دنیا آمد. از آثار شاخص او می‌توان به فیلم‌هایی چون «یتیم‌خانه ایران»، «میهمان داریم»، «آینه شمعدون»، «یک خانواده محترم»، «پرتقال خونی»، «قفس طلایی»، «قصه پریا»، «طاووس‌های بی‌پر»، «آتش سبز»، «زخم شانه حوا»، «همیشه پای یک زن در میان است»، «بچه‌های ابدی»، «گاهی واقعی»، «ستاره‌ها ۱: ستاره می‌شود»، «ما همه خوبیم»، «شهر زیبا»، «واکنش پنجم»، «دزد و نویسنده»، «پدربزرگ»، «سیاه راه»، «تفنگدار»، «دادشاه»، «عفریت»، «مرز»، «انفجار»، «پسر ایران از مادرش بی‌اطلاع است» و همچنین مجموعه‌های تلویزیونی «راه شیری (اپیزود پسر)»، «خانهٔ بی‌پرنده»، «مختارنامه»، «ملکوت»، «به کجا چنین شتابان»، «بهشت و بهار»، «یک مشت پر عقاب»، «سایه آفتاب»، «معصومیت از دست رفته»، «آژانس دوستی»، «لحظه»، «طلاق»، «گذر خلیل ده‌مرده»، «آدم و حوا» اشاره کرد. همچنین در تله‌فیلم‌هایی چون «مروارید»، «لحظهٔ دیدار»، «اگر باران ببارد»، «قاصدک روی شانه»، «آن‌سوی دیوار» و تله‌تئاتر «زمستان ۶۶» و «گل یاس» نیز ایفای نقش کرده است. او همچنین آثاری چون «پزشک نازنین»، «پسران آفتاب»، «اسباب‌بازی‌های زیرشیروانی»، «جشن سالگرد» و «خواهران خوب» را ترجمه کرده است.زنی با صورت کشیده و پوست روشن، بینی متوسط، چشمان قهوه‌ای و ابروهای نازک مشکی. موهای قهوه‌ای تیره و چهره‌ای بدون ریش و سبیل؛ به نظر می‌رسد در دهه ششم یا هفتم زندگی باشد.,"['images_clean\\250px-Ahu_Kheradmand_at_32th_Fajr.png', 'images_clean_v2\\250px-Ahu_Kheradmand_at_32th_Fajr.jpg']","['images_clean\\250px-Ahu_Kheradmand_at_32th_Fajr.png', 'images_clean_v2\\250px-Ahu_Kheradmand_at_32th_Fajr.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-Ahu_Kheradmand_at_32th_Fajr.png', '/content/drive/MyDrive/images_clean_v2/250px-Ahu_Kheradmand_at_32th_Fajr.jpg']"
360,پژمان جمشیدی,پژمان جمشیدی، بازیگر و بازیکن سابق فوتبال، در ۲۰ خرداد ۱۳۵۶ در تهران متولد شد. او در آثار متعددی از جمله فیلم‌های «استخر»، «ذوق‌مرگ»، «طهران ۵۷»، «کلمبیا»، «آنتیک»، «دایناسور»، «بی‌بدن»، «تمساح خونی»، «صبحانه با زرافه‌ها»، «تگزاس ۳»، «کوکتل مولوتوف»، «هتل»، «شهر هرت»، «ویلای ساحلی»، «یادگار جنوب»، «سمفونی حمید»، «بخارست»، «بی‌مادر»، «علفزار»، «خانه ارواح»، «شیشلیک»، «کوسه»، «هفته‌ای یک‌بار آدم باش»، «خط فرضی»، «خوب، بد، جلف ۲: ارتش سری»، «دوزیست»، «جهان با من برقص»، «ایده اصلی»، «تگزاس ۲»، «دینامیت»، «هزارتو»، «ما همه با هم هستیم»، «سوءتفاهم»، «تگزاس»، «لونه زنبور»، «من دیوانه نیستم»، «آذر»، «خوب، بد، جلف»، «۵۰ کیلو آلبالو»، «من ناصر حجازی هستم…»، «آتش‌بس ۲»، «شرف خانواده فاضل» و همچنین مجموعه‌های تلویزیونی «زیرخاکی»، «دیوار به دیوار ۲»، «نفس»، «دیوار به دیوار ۱»، «سال‌های ابری»، «پژمان»، «ساختمان پزشکان» و مجموعه‌های نمایش خانگی «محکوم»، «افعی تهران»، «مگه تموم عمر چندتا بهاره»، «آفتاب‌پرست»، «آنتن»، «خوب، بد، جلف: رادیواکتیو» و نمایش‌های تئاتری «بادی که تو را خشک کرد مرا برد»، «آرسنیک و تور کهنه»، «آرامسایش»، «وقتی ما بر می‌گردیم دو پای آویزان باقی مانده است»، «گنجفه»، «پلیس»، «پپرونی برای دیکتاتور»، «بی نوایان»، «الد سیبروک»، «یادم تو را فراموش»، «دوباره اون آهنگ رو بزن سم»، «حکومت نظامی»، «پوست انداختن»، «آن سوی آینه»، «مادر» و «فرانکنشتاین» و برنامه‌های «جام ملت‌ها با پژمان جمشیدی»، «پیش‌گو» و «کلاسیکو» نقش‌آفرینی کرده است.مردی با صورت بیضی شکل، بینی متوسط، چشمان بسته، ابروهای پرپشت و موهای مشکی دانه‌سپید شده، بدون سبیل و ریش. به نظر می‌رسد در دهه چهارم زندگی باشد.,"['images_clean\\Pejman_Jamshidi_2019.png', 'images_clean_v2\\Pejman_Jamshidi_2019.jpg']","['images_clean\\Pejman_Jamshidi_2019.png', 'images_clean_v2\\Pejman_Jamshidi_2019.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Pejman_Jamshidi_2019.png', '/content/drive/MyDrive/images_clean_v2/Pejman_Jamshidi_2019.jpg']"
361,نگین صدق‌گویا,نگین صدق‌گویا، متولد ۸ اسفند ۱۳۴۹ در تهران، بازیگر است. از آثار او می‌توان به فیلم‌های «تیک تاک» (۱۳۷۱)، «خلبان» (۱۳۷۶)، «زن امروز» (۱۳۷۵)، «عاشق فقیر» (۱۳۷۴)، «عبور از خط سرخ» (۱۳۷۴)، «بی‌قرار» (۱۳۷۳)، «انتخاب» (۱۳۸۳)، «رأی باز» (۱۳۸۱)، «واکنش پنجم» (۱۳۸۱)، «خواستگار محترم» (۱۳۸۵)، «ابراهیم خلیل‌الله» (۱۳۸۴)، «کاغذ دیواری زرد» (۱۳۸۴)، «مانا» (۱۳۸۷)، «زمانی برای دوست داشتن» (۱۳۸۶)، «دعوت» (۱۳۸۷)، «گافتاب» (۱۳۹۹) و مجموعه‌های تلویزیونی «تمام رخ» (۱۴۰۱)، «از سر نوشت (فصل ۴)» (۱۴۰۱)، «ساعت صفر» (۱۳۹۴)، «لبه آتش» (۱۳۹۰)، «به کجا چنین شتابان» (۱۳۸۸)، «بهشت و بهار» (۱۳۸۷)، «شکر تلخ» (۱۳۸۵)، «و خداوند عشق را آفرید» (۱۳۸۴)، «شبی از شب‌ها» (۱۳۸۳)، «آتش سرد» (۱۳۸۲)، «دیوار شیشه‌ای» (۱۳۸۰)، «همسفر» (۱۳۷۹)، «ایستگاه» (۱۳۷۸)، «شن‌های کف رودخانه» (۱۳۷۶) و همچنین «عالیجناب (رئالیتی شو)» (۱۴۰۳) اشاره کرد. او در دوره ۱۳۷۱–اکنون فعالیت داشته است.مردی با صورت مستطیلی، بینی صاف، چشمان قهوه‌ای، ابروهای پهن، موهای قهوه‌ای کوتاه و پوست روشن. در کنار او زنی با صورت بیضی شکل، بینی کوچک، چشمان قهوه‌ای، ابروهای نازک، موهای پوشیده با روسری قرمز و پوست روشن دیده می‌شود. هر دو احتمالاً در دهه سوم زندگی هستند.,"['images_clean\\%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%8.png', 'images_clean_v2\\%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87_%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86%DB%8C%29.jpeg']","['images_clean\\%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%8.png', 'images_clean_v2\\%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87_%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86%DB%8C%29.jpeg']","['/content/drive/MyDrive/images_clean/images_clean/%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%8.png', '/content/drive/MyDrive/images_clean_v2/%D8%A8%D9%87_%DA%A9%D8%AC%D8%A7_%DA%86%D9%86%DB%8C%D9%86_%D8%B4%D8%AA%D8%A7%D8%A8%D8%A7%D9%86_%28%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87_%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86%DB%8C%29.jpeg']"
362,عطاءالله زاهد,عطاءالله زاهد، در سال ۱۲۹۴ در شیراز، فارس به دنیا آمد و در تاریخ ۱۵ آبان ۱۳۷۰ در تهران، تهران درگذشت. او بازیگر، کارگردان، دوبلور و فیلم‌نامه‌نویس بود. از آثار او می‌توان به فیلم‌های «ماجرای زندگی»، «بوسه مادر»، «بازگشت به زندگی»، «چشم به راه»، «راهی به سوی خدا»، «مادیان»، «سمندر»، «طلسم»، «اتاق یک»، «شیر سنگی»، «ماهی»، «دوران سربی»، «در مسیر تندباد»، «برهوت»، «عبور از غبار»، «رانده شده»، «آخرین مهلت»، «عروس حلبچه»، «دلشدگان» و «مدرسه پیرمردها» و همچنین مجموعه‌های تلویزیونی «این خانه دور است»، «با سلسله حکمت»، «بوعلی سینا»، «طالب»، «سربداران»، «هزاردستان» و «الموت» و نمایش‌های «بزم بهرام گور» و «رستاخیز سلاطین» اشاره نمود. دوره فعالیت او در دههٔ ۱۳۲۰ تا ۱۳۷۰ بود.مردی میانسال با صورت کشیده و استخوانی، بینی متوسط و مستقیم، چشمانی پوشیده با عینک دایره‌ای، ابروهای کم‌پشت، موهای تیره پوشیده با کلاه سنتی، ریش بلند و خاکستری و پوست روشن. به نظر می‌رسد در دهه پنجم یا ششم زندگی باشد.,"['images_clean\\Ata-Allah_Zahed.png', 'images_clean_v2\\Ata-Allah_Zahed.jpg']","['images_clean\\Ata-Allah_Zahed.png', 'images_clean_v2\\Ata-Allah_Zahed.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Ata-Allah_Zahed.png', '/content/drive/MyDrive/images_clean_v2/Ata-Allah_Zahed.jpg']"
363,ترانه علیدوستی,ترانه علیدوستی، در دهه ۱۳۸۰-اکنون، به‌عنوان بازیگر فعالیت می‌کرد. از آثار شاخص او می‌توان به فیلم‌هایی چون «من، ترانه ۱۵ سال دارم» (۱۳۸۰)، «شهر زیبا» (۱۳۸۲)، «چهارشنبه سوری» (۱۳۸۴)، «کنعان» (۱۳۸۶)، «شیرین» (۱۳۸۷)، «تردید» (۱۳۸۷)، «درباره الی» (۱۳۸۷)، «زندگی با چشمان بسته» (۱۳۸۸)، «راز دشت تاران» (۱۳۸۹)، «هرچی خدا بخواد» (۱۳۸۹)، «انتهای خیابان هشتم» (۱۳۸۹)، «پذیرایی ساده» (۱۳۹۰)، «زندگی مشترک آقای محمودی و بانو» (۱۳۹۱)، «آسمان زرد کم عمق» (۱۳۹۲)، «مادر قلب اتمی» (۱۳۹۳)، «استراحت مطلق» (۱۳۹۳)، «فروشنده» (۱۳۹۴)، «اکو» (۱۳۹۸)، «اورکا» (۱۴۰۰)، «تفریق» (۱۴۰۰)، «برادران لیلا» (۱۴۰۰) و سریال «شهرزاد» (۱۳۹۳) اشاره نمود. همچنین در مستند «سمفونی حمید» (۱۴۰۰) و پویانمایی «جمشید و خورشید» و نمایش‌های «فنز»، «مانیفست چو» و «روز حسین» نیز نقش‌آفرینی کرده است. او در ۲۲ دی ماه ۱۳۶۲ در تهران متولد شد.زنی با صورت بیضی شکل، بینی کوچک و صاف، چشمان قهوه‌ای بزرگ، ابروهای مرتب و نازک، موهای مشکی و پوست روشن. به نظر می‌رسد در دهه دوم یا اوایل دهه سوم زندگی باشد.,"['images_clean\\Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.png', 'images_clean_v2\\Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.jpg']","['images_clean\\Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.png', 'images_clean_v2\\Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.png', '/content/drive/MyDrive/images_clean_v2/Taraneh_Alidoosti%2C_The_Salesman_news_conference_%2813950311005853135%29.jpg']"
364,یونا تدین,یونا تدین، که در تاریخ ۲۳ اسفند ۱۳۸۸ در تهران متولد شد، در دهه ۱۳۹۰ فعالیت می‌کرد و به‌عنوان بازیگر شناخته می‌شود. از آثار او می‌توان به «نقطه کور» (۱۳۹۴)، «بچه مهندس» (۱۳۹۷)، «گسل» (۱۳۹۶)، «اتاق جادویی» (۱۳۹۸)، «قصر شیرین» (۱۳۹۷) و «قورباغه» (۱۳۹۹) اشاره کرد.پسری با صورت بیضی شکل، بینی کوچک و صاف، چشمان قهوه‌ای روشن، ابروهای مرتب و پرپشت، موهای مشکی کوتاه و بدون ریش و سبیل. به نظر می‌رسد حدود ۱۰ تا ۱۲ سال سن داشته باشد.,"['images_clean\\Yuna_taddayon.png', 'images_clean_v2\\Yuna_taddayon.jpg']","['images_clean\\Yuna_taddayon.png', 'images_clean_v2\\Yuna_taddayon.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Yuna_taddayon.png', '/content/drive/MyDrive/images_clean_v2/Yuna_taddayon.jpg']"
365,بیژن بنفشه‌خواه,بیژن بنفشه‌خواه، متولد نهم فروردین ماه ۱۳۵۲ در تهران، در دهه ۱۳۷۰ فعالیت خود را به عنوان بازیگر، کمدین و استندآپ کمدین آغاز کرد. از آثار وی می‌توان به فیلم‌هایی چون «طهران ۵۷»، «آنتیک»، «تاکسی درمی»، «معجزه پروین»، «صبحانه با زرافه‌ها»، «بانک زده‌ها»، «گیج‌گاه»، «والدین امانتی»، «فصل ماهی سفید»، «نارگیل۲»، «کلوپ همسران»، «جانان»، «تخته گاز»، «کاتیوشا»، «ما خیلی باحالیم»، «قهرمانان کوچک»، «هشتگ»، «دربست»، «شرف خانواده فاضل»، «وفا ۲۰۱۲»، «از ما بهترون» و «رقص شیطان» اشاره کرد. همچنین وی در مجموعه‌های تلویزیونی «بگو بخند»، «نون خ ۴»، «مسابقه دورهمی»، «مستوران»، «پلاک ۱۳»، «خود خواسته»، «زندگی زیباست»، «سرگذشت»، «حکایت‌های کمال»، «دنگ و فنگ روزگار»، «شش قهرمان و نصفی»، «محکومین»، «لیسانسه‌ها»، «شهرک جیم»، «سه شو»، «حالت خاص»، «مسابقه ستاره بیست»، «سربه‌راه»، «دست نزن جیزه»، «روزهای بد، به‌در»، «پژمان»، «دزد و پلیس»، «سهمی برای دوست»، «راه طولانی»، «خانه اجاره‌ای»، «ساختمان پزشکان»، «مرد دوهزارچهره»، «طلاق در وقت اضافه»، «پیامک از دیار باقی»، «آرزوهای شیرین»، «تعطیلات پردردسر»، «اکسیژن»، «باغچه مینو»، «زیر آسمان شهر - سری سوم»، «بدون شرح»، «طبقه وسط»، «کلبه سپید»، «آبدارشاه»، «گل‌های ۷۸»، «حرف تو حرف»، «این چند نفر»، «عید آن سال‌ها»، «گل‌های ۷۷»، «ایستگاه ۷۷»، «گل‌های ۷۶»، «نوروز ۷۶»، «نوروز ۷۵»، «دزدان مادربزرگ»، «آخرین ستاره شب»، «لبخند سوم»، «همسران»، «جنگ ۳۹»، «پسر بابا» و «پیک سپید شادی» نیز به ایفای نقش پرداخته است. در زمینه نمایش خانگی نیز آثار «نیسان آبی ۲»، «دفتر یادداشت»، «مهمونی»، «تی‌ان‌تی»، «ناتو»، «مگه تموم عمر چندتا بهاره»، «پدرخوانده»، «جوکر»، «جناب عالی»، «شب‌های مافیا»، «شوخی کردم»، «شام ایرانی (سری چهارم)»، «قهوه تلخ» و «بمب خنده» از او منتشر شده است.مردی با صورت کشیده و پوست روشن، بینی متوسط، چشمان قهوه‌ای، ابروهای نسبتاً پرپشت، موهای خاکستری، ریش و سبیل خاکستری کوتاه. به نظر می‌رسد در دهه پنجم یا ششم زندگی باشد.,"['images_clean\\Bijan_Banafshekhah_2016-09-15.png', 'images_clean_v2\\Bijan_Banafshekhah_2016-09-15.jpg']","['images_clean\\Bijan_Banafshekhah_2016-09-15.png', 'images_clean_v2\\Bijan_Banafshekhah_2016-09-15.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Bijan_Banafshekhah_2016-09-15.png', '/content/drive/MyDrive/images_clean_v2/Bijan_Banafshekhah_2016-09-15.jpg']"
366,علی انصاریان,علی انصاریان، متولد ۱۴ تیر ۱۳۵۶ در تهران، در ۱۵ بهمن ۱۳۹۹ در همین شهر به دلیل بیماری کرونا ویروس ۲۰۱۹ درگذشت. او به عنوان بازیکن فوتبال، بازیگر و مجری تلویزیون فعالیت می‌کرد. از آثار او می‌توان به فیلم‌های سینمایی «بی پی ام بند»، «دوش آخر»، «هولیا»، «بانک زده‌ها»، «قطع فوری»، «بعد از اتفاق»، «کولبرف»، «رمانتیسم عماد و طوبا»، «کلوپ همسران»، «اژدر»، «قفل»، «تصویرم در آینه نیست»، «کاپیتان امیر»، «فقط صدا می‌ماند»، «چسب زخم»، «بازگشته»، «عشق و خیانت»، «شهر من»، «کتیبه»، «حس خوب زندگی»، «دو روز تا ماندن»، «حکم تیر»، «ثانیه»، «شروع یک پایان»، «یابانجی»، «هدیه»، «کلاف»، «سوختن»، «انتقال» و «پاداش سکوت» و همچنین مجموعه‌های تلویزیونی «سرزده»، «۸۷ متر»، «زندگی از نو»، «محکومین»، «دست پخت‌های خودمانی»، «کیمیا»، «خانه اجاره‌ای»، «چارخونه»، «غنچه‌های سحر»، «نقطه چین» و «زیر آسمان شهر» و آثار شبکه خانگی «همرفیق»، «شام ایرانی ۲» و «آسپرین» اشاره کرد.مردی با صورت مستطیلی، بینی متوسط و صاف، چشمان روشن، ابروهای پرپشت و کمانی، موهای موج‌دار و مشکی، سبیل و ریش مرتب که پوست روشن و سالمی دارد. به نظر می‌رسد در دهه چهارم زندگی باشد.,"['images_clean\\1200px-Ali_Ansarian.png', 'images_clean_v2\\1200px-Ali_Ansarian.jpg']","['images_clean\\1200px-Ali_Ansarian.png', 'images_clean_v2\\1200px-Ali_Ansarian.jpg']","['/content/drive/MyDrive/images_clean/images_clean/1200px-Ali_Ansarian.png', '/content/drive/MyDrive/images_clean_v2/1200px-Ali_Ansarian.jpg']"
367,فلور نظری,فلور نظری، بازیگر، در ۱ فروردین ۱۳۴۷ در لاهیجان، گیلان به دنیا آمد. از کارهای او می‌توان به فیلم‌هایی چون «شور عشق»، «تب»، «ازدواج صورتی»، «رؤیای خیس»، «قصه دل‌ها»، «بچه‌های ابدی»، «کلاهی برای باران»، «تسویه حساب»، «محافظ»، «بیداری»، «زندگی شیرین»، «شیر و عسل»، «در شب عروسی»، «کنسرت روی آب»، «تپلی»، «فیلادلفی»، «مامان بهروز من را زد»، «چهارباندی»، «یکی برای همه»، «آتش‌بس ۲» و «دریا کنار»، «عشق پول» و مجموعه‌های تلویزیونی «فریاد بی صدا»، «بگذار آفتاب برآید»، «پزشکان»، «شب چراغ»، «دختران»، «چراغ جادو»، «دوران سرکشی»، «شب آفتابی»، «نوعروس»، «باران عشق»، «سه، پنج، دو»، «مزرعه آفتابگردان»، «مسافری از هند»، «تب سرد»، «مشاور»، «خانه به دوش»، «فصل زرد»، «دایره تردید»، «متهم گریخت»، «قلب»، «ارث بابام»، «کارآگاه لطفی»، «پرواز در حباب»، «به همین سادگی»، «عملیات ۱۲۵ (سری اول)»، «غیرمحرمانه»، «هویت»، «مرد دو هزار چهره»، «آسمان همیشه ابری نیست»، «دختری به نام آهو»، «چمدان»، «تکیه برباد»، «قهر و آشتی»، «نفس گرم»، «گسل»، «راه و بیراه» و «حکایت‌های کمال» و همچنین تله‌فیلم‌های «دهخدا»، «بهار قبل و بعد»، «پاپوش»، «آوازهای مادرانه»، «سومین روز پس از مرگ»، «دزدان غیر دریایی»، «کابوس»، «رنگ زیتون کال»، «قرار در اسکله»، «مسافر»، «آخرین اجرا»، «سرشاخ»، «یک لحظه دیرتر»، «جستجو»، «یک سفر بخصوص»، «یغما» و «از میان سایه‌ها» اشاره کرد. او در دوره ۱۳۷۵–اکنون فعالیت داشته است.زنی با صورت بیضی شکل، بینی متوسط، چشمان قهوه‌ای روشن، ابروهای مرتب و پرپشت، موهای پوشیده شده با روسری مشکی، پوست روشن و بدون ریش و سبیل. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['images_clean\\%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.png', 'images_clean_v2\\%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.jpg']","['images_clean\\%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.png', 'images_clean_v2\\%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.jpg']","['/content/drive/MyDrive/images_clean/images_clean/%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.png', '/content/drive/MyDrive/images_clean_v2/%D9%81%D9%84%D9%88%D8%B1_%D9%86%D8%B8%D8%B1%DB%8C.jpg']"
368,بیژن امکانیان,بیژن امکانیان، بازیگر، تهیه‌کننده و کارگردان، در ۲۷ اردیبهشت ۱۳۳۲ در آبادان متولد شد و در دهه ۱۳۶۰ فعالیت خود را آغاز کرد. از آثار او می‌توان به فیلم‌هایی چون «آواز تهران» (۱۳۷۰)، «فرار از جهنم» (۱۳۷۵)، «رخ دیوانه» (۱۳۹۳) و مجموعه نمایش خانگی «آشوب» (۱۴۰۰) اشاره کرد.مردی با صورت کشیده و بینی نسبتاً برجسته، چشمان تیره، ابروهای نسبتاً پرپشت، موهای خاکستری و بدون سبیل یا ریش. به نظر می‌رسد در دهه پنجم یا ششم زندگی باشد.,"['images_clean\\Bizhan_Emkanian.png', 'images_clean_v2\\Bizhan_Emkanian.jpg']","['images_clean\\Bizhan_Emkanian.png', 'images_clean_v2\\Bizhan_Emkanian.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Bizhan_Emkanian.png', '/content/drive/MyDrive/images_clean_v2/Bizhan_Emkanian.jpg']"
